fecha,maxima
1950-06-28,32
1950-06-29,34.8
1950-06-30,32.2
1950-07-08,32.4
1950-07-09,31.6
1950-07-12,32.8
1950-07-19,31.2
1950-07-20,33.2
1950-07-23,30.6
1950-07-26,32.4
1950-07-27,32.6
1950-07-28,33.8
1950-07-30,32.8
1950-08-05,31
1950-08-06,31.4
1950-08-09,30.6
1950-08-20,31.8
1950-08-21,31.6
1950-09-11,30
1950-09-13,30
1950-09-14,30
1951-06-14,32.2
1951-07-19,30.2
1951-07-20,32.4
1951-07-21,32
1951-07-27,34.8
1951-07-28,36.6
1951-07-29,31.2
1951-07-30,30
1951-08-18,31
1951-08-19,31
1951-09-04,30
1951-09-05,33.4
1952-06-25,34
1952-07-10,30.4
1952-07-11,32.4
1952-08-05,30.4
1952-08-11,31.4
1952-08-12,31.2
1952-08-13,31.4
1952-08-25,30.2
1953-05-24,31
1953-07-16,31.2
1953-07-20,32
1953-07-21,33.4
1953-07-24,33
1953-07-25,32.6
1953-07-31,30
1953-08-01,31
1953-08-07,32.1
1953-08-08,32.8
1953-08-11,32.8
1953-08-12,33.4
1953-08-15,30
1953-08-17,32
1953-08-19,32.7
1953-08-23,30.2
1953-08-29,30
1953-08-30,32.6
1953-08-31,32
1953-09-01,32
1953-09-04,31
1953-09-06,31
1953-09-07,31
1953-09-08,30.1
1954-06-26,31.2
1954-07-17,31.2
1954-07-24,34
1954-07-25,34.2
1954-07-26,32
1954-07-27,30.5
1954-08-02,30.2
1954-08-03,31.8
1954-08-12,30.6
1954-08-18,31.8
1954-08-30,30.5
1955-07-12,31.2
1955-07-13,31.5
1955-07-14,30.2
1955-07-16,30.2
1955-08-16,30.8
1955-08-17,30.4
1955-08-18,30.5
1955-08-19,31.5
1955-08-20,32.5
1955-08-21,30.5
1955-08-26,31.4
1955-08-27,30
1956-07-05,31
1956-07-06,32
1956-07-07,32.5
1956-07-08,31.4
1956-07-12,31
1956-07-26,33.2
1956-07-27,31.2
1956-08-08,32.5
1956-08-13,31
1956-08-14,30.9
1956-08-16,32.5
1956-09-13,34
1956-09-14,33.2
1957-06-27,31
1957-06-28,31.4
1957-06-29,30
1957-06-30,31.5
1957-07-02,31.2
1957-07-03,30.8
1957-07-26,31.5
1957-07-30,30.6
1957-07-31,35.7
1957-08-01,37
1957-08-02,35.4
1957-08-03,33.5
1957-08-05,30
1957-08-06,33.2
1957-08-07,31.2
1957-08-22,30.6
1957-09-05,30.4
1957-09-06,32.7
1958-06-16,30
1958-07-11,30.8
1958-07-12,30.4
1958-07-14,31
1958-07-19,30
1958-07-25,34
1958-07-27,30.5
1958-07-28,32
1958-07-29,32
1958-07-30,31.2
1958-07-31,36
1958-08-01,30.4
1958-08-05,32
1958-08-08,31
1958-08-09,32.8
1958-08-10,30.2
1958-08-14,30
1958-08-15,33.2
1958-08-17,30.5
1958-08-26,30
1958-08-27,30.8
1958-09-09,30
1958-09-11,30
1958-09-13,31
1959-07-03,32
1959-07-04,32.6
1959-07-05,33.5
1959-07-06,30
1959-07-07,32
1959-07-08,34.6
1959-07-09,32
1959-07-10,31
1959-07-12,30
1959-07-17,30.5
1959-07-26,31.6
1959-07-27,32.4
1959-08-28,30.2
1960-06-18,30.2
1960-06-20,30.4
1960-06-21,30.4
1960-06-22,30.4
1960-07-10,30
1960-07-25,31
1960-07-28,31
1960-08-21,32
1960-08-22,32.2
1960-08-23,31.6
1960-08-24,30
1960-09-10,30.8
1960-09-11,31.6
1961-06-21,30.2
1961-06-30,30
1961-07-11,30.6
1961-08-05,32.6
1961-08-25,31
1961-08-26,31
1961-08-27,32.2
1961-08-28,33.8
1961-08-29,31.8
1961-08-31,30.6
1961-09-15,30.2
1961-09-16,30.8
1962-07-03,31
1962-07-19,31.5
1962-07-20,31.6
1962-07-23,31
1962-07-24,32
1962-07-31,32.2
1962-08-01,33.8
1962-08-11,32.8
1962-08-12,32.6
1962-08-13,33.5
1962-08-19,33.4
1962-08-24,33.2
1962-08-26,33.4
1962-08-28,34
1962-08-29,33.4
1962-08-30,33.6
1962-09-02,32.2
1962-09-09,30.6
1962-09-10,30.4
1962-09-11,30.6
1962-09-14,31.6
1963-06-21,31.5
1963-07-07,30.2
1963-07-08,30.6
1963-07-21,30.8
1963-07-22,31
1963-07-23,33
1963-07-24,31.8
1963-07-31,31.5
1963-08-10,30.5
1963-08-11,33
1963-08-25,31
1963-08-26,30
1964-05-16,30
1964-05-17,31
1964-06-12,32
1964-07-12,30
1964-07-13,30
1964-07-14,31.4
1964-07-15,33.6
1964-07-16,33.2
1964-07-17,35
1964-07-18,30
1964-07-20,33.4
1964-07-25,33.4
1964-07-26,30.4
1964-07-30,32
1964-08-04,30.4
1964-08-05,31.2
1964-08-06,32
1964-08-16,30.4
1964-08-25,32.4
1964-08-26,32.8
1964-08-27,32
1964-08-31,34.4
1964-09-01,32.8
1964-09-09,31.2
1964-09-10,31.6
1964-09-11,31.4
1964-09-12,30.3
1964-09-13,32.6
1964-09-14,30.2
1964-09-15,30
1965-05-12,30.2
1965-06-18,32.6
1965-06-19,35
1965-06-20,33.4
1965-06-21,31.6
1965-06-24,31.2
1965-06-25,32
1965-06-29,32.4
1965-06-30,30.6
1965-07-11,31
1965-07-12,32.6
1965-07-13,30.4
1965-07-29,31
1965-07-30,31
1965-08-03,31.6
1965-08-04,35
1965-08-05,34.8
1965-08-06,33.4
1965-08-11,32.2
1965-08-12,32
1965-08-15,31
1965-08-19,30.4
1965-08-29,32.6
1966-07-12,33.4
1966-07-13,33.6
1966-08-10,33
1966-08-11,34
1966-08-12,35.4
1966-08-13,30.4
1966-09-06,32.8
1966-09-07,33.4
1966-09-08,33.8
1966-09-09,33.8
1966-09-10,33.4
1966-09-11,33.4
1967-06-30,31.2
1967-07-01,31.2
1967-07-11,30.4
1967-07-12,30.4
1967-07-16,31.2
1967-07-17,31.6
1967-07-19,33.2
1967-07-20,30.4
1967-07-21,31.4
1967-07-30,31.2
1967-07-31,32.6
1967-08-15,31.6
1967-08-18,30
1967-08-21,32.4
1967-08-22,30.6
1967-08-28,30
1967-09-01,31.6
1968-06-27,30
1968-06-28,33.6
1968-06-29,34.6
1968-06-30,35.2
1968-07-01,33.8
1968-07-09,31.6
1968-07-23,31.2
1968-07-25,31.4
1968-07-26,34.4
1968-07-27,34.2
1968-07-28,33.2
1968-08-19,31
1968-08-20,32.6
1968-08-21,31.6
1968-08-22,33.8
1968-08-23,31.8
1968-08-24,30.6
1968-09-08,30.4
1968-09-09,31.8
1969-06-29,30.6
1969-07-14,33.2
1969-07-15,33
1969-07-16,33.2
1969-07-17,33.6
1969-07-18,34
1969-07-19,34
1969-07-20,33.2
1969-07-22,30.4
1969-07-23,31.4
1969-07-28,31
1969-07-31,31.4
1969-08-04,30.6
1969-08-06,31.6
1969-08-07,32.2
1969-08-08,33.4
1969-08-11,30
1969-08-13,31.6
1970-07-01,30
1970-07-05,31
1970-07-06,33.8
1970-07-12,30.8
1970-07-13,33.8
1970-07-20,30
1970-07-22,31
1970-07-23,30
1970-07-27,31.6
1970-07-28,30.6
1970-08-12,32.4
1970-08-13,31.4
1970-08-25,30
1970-09-02,31
1970-09-06,32.6
1970-09-07,30
1970-09-20,30.6
1970-09-21,30.4
1970-09-22,31.4
1971-07-29,30.6
1971-07-30,31.6
1971-08-09,30
1971-08-13,30.4
1971-08-14,30
1971-08-15,30
1971-08-16,31.6
1971-09-03,32.8
1971-09-04,31.8
1971-09-05,31.6
1971-09-06,31.2
1971-09-07,30
1972-08-06,31.8
1972-08-22,32
1973-06-30,30
1973-07-01,30.2
1973-07-02,30.2
1973-07-03,32.4
1973-07-04,30.6
1973-08-05,30.6
1973-08-06,31.6
1973-08-07,30.4
1973-08-08,32.6
1973-08-09,32.4
1973-08-10,34
1973-08-11,30
1973-08-12,31
1973-08-13,32.6
1973-08-14,31.6
1973-08-19,30.4
1973-08-21,32
1973-09-02,30.4
1973-09-03,31.4
1973-09-11,31.4
1974-07-02,30.4
1974-07-11,31.8
1974-07-12,30.6
1974-07-28,32.4
1974-07-29,33.2
1974-08-02,32.6
1974-08-06,33.2
1974-08-12,32.4
1974-08-13,32.8
1974-08-14,32.2
1974-08-15,34.2
1974-08-16,36
1975-07-02,31.6
1975-07-12,31
1975-07-13,34.2
1975-07-14,30.2
1975-07-15,30.8
1975-07-16,31.6
1975-07-20,31.2
1975-07-23,31.2
1975-07-26,30.2
1975-07-27,32.4
1975-07-28,30.4
1975-07-29,33.2
1975-07-30,35.6
1975-07-31,35
1975-08-01,33.2
1975-08-02,31.4
1975-08-03,30.8
1975-08-04,30.6
1975-08-06,33.6
1975-08-07,35.4
1975-08-08,31.4
1975-08-19,31
1975-08-20,32.4
1976-07-10,30.6
1976-07-14,30.2
1976-07-15,32.4
1976-07-30,31
1976-08-03,31.6
1976-08-04,33.4
1976-08-05,35.6
1976-08-06,32.8
1976-08-07,31.2
1976-08-08,31.6
1977-08-14,30.2
1977-08-15,31.8
1977-09-11,30.6
1977-09-12,30.2
1978-07-09,32.2
1978-07-14,31.4
1978-07-15,34.6
1978-07-16,34.8
1978-07-17,32.8
1978-07-22,30.4
1978-07-24,30.2
