fecha,maxima
1950-06-03,30.5
1950-06-04,32.9
1950-06-05,31
1950-06-06,30.3
1950-06-24,30.6
1950-06-25,31.9
1950-06-26,32.7
1950-06-27,33.1
1950-06-28,34.8
1950-06-29,36.5
1950-06-30,34.6
1950-07-01,34.4
1950-07-02,32.3
1950-07-07,32.1
1950-07-08,33.5
1950-07-09,33.5
1950-07-10,32.2
1950-07-11,32.6
1950-07-12,34.3
1950-07-13,31
1950-07-15,30.5
1950-07-16,31.6
1950-07-17,31.5
1950-07-18,33.2
1950-07-19,34.8
1950-07-20,35.2
1950-07-21,33.6
1950-07-22,32.2
1950-07-23,33.5
1950-07-24,35
1950-07-25,34.6
1950-07-26,33.6
1950-07-27,33.5
1950-07-28,35.4
1950-07-29,34.2
1950-07-30,34.6
1950-07-31,35.5
1950-08-01,34
1950-08-02,30.4
1950-08-03,30.3
1950-08-04,30.9
1950-08-05,32.6
1950-08-06,32.4
1950-08-07,31
1950-08-08,31.4
1950-08-09,33
1950-08-10,31.9
1950-08-11,31.1
1950-08-12,31.6
1950-08-13,31.9
1950-08-14,31.6
1950-08-16,32.5
1950-08-20,30.6
1950-08-22,31.1
1950-09-08,30.7
1950-09-09,31.5
1950-09-10,31.2
1951-06-12,30.6
1951-06-13,33.9
1951-06-14,32.6
1951-06-15,31.8
1951-06-16,31.6
1951-06-28,30.6
1951-06-29,31.1
1951-06-30,30.1
1951-07-02,30.3
1951-07-03,30.8
1951-07-06,31.6
1951-07-07,30.7
1951-07-08,30.2
1951-07-09,30.5
1951-07-10,30.6
1951-07-18,31.7
1951-07-19,31.9
1951-07-20,34.2
1951-07-21,34.2
1951-07-22,31.3
1951-07-25,30.2
1951-07-26,33
1951-07-27,35.2
1951-07-28,38
1951-07-29,33.5
1951-08-12,31
1951-08-13,31.2
1951-08-14,30.8
1951-08-15,30.9
1951-08-16,31.2
1951-08-18,31.2
1951-08-19,32.5
1951-09-04,31.7
1951-09-05,31.5
1952-06-05,30.6
1952-06-21,30.1
1952-06-23,32.8
1952-06-24,33.6
1952-06-25,35.5
1952-06-26,30.7
1952-06-28,31
1952-06-29,32.8
1952-06-30,30.8
1952-07-01,30.6
1952-07-02,32.9
1952-07-03,31.4
1952-07-07,32.2
1952-07-08,30
1952-07-09,33
1952-07-10,34.9
1952-07-11,36.6
1952-07-12,35.1
1952-07-13,33.6
1952-07-14,32
1952-07-15,30.5
1952-07-16,32
1952-07-17,30.7
1952-07-18,30.2
1952-07-19,32.8
1952-07-20,30.2
1952-07-21,31.7
1952-07-31,30.1
1952-08-03,30.2
1952-08-04,30.1
1952-08-05,30.8
1952-08-11,30.7
1952-08-12,32.5
1952-08-13,34.4
1952-08-18,31
