fecha,maxima
1953-05-27,31.3
1953-05-28,30.1
1953-05-29,30.8
1953-05-30,30.2
1953-07-13,31.6
1953-07-27,30.4
1953-07-30,32.6
1953-08-06,31.8
1953-08-07,30.6
1953-08-20,30.5
1953-08-21,34.4
1953-08-28,30.8
1953-09-10,30
1953-09-20,30.8
1954-06-24,30.1
1954-07-22,30
1954-07-23,30.8
1954-07-28,30.1
1954-07-29,30.7
1954-08-07,31
1954-08-09,32.2
1954-08-10,30.2
1954-09-27,31
1955-06-26,30.1
1955-07-02,30
1955-07-03,30
1955-07-05,30.8
1955-07-15,31.2
1955-07-17,30
1955-07-18,31.6
1955-07-24,30
1955-07-25,31
1955-07-26,31
1955-07-27,30.5
1955-07-28,31
1955-07-29,30.4
1955-08-01,30.5
1955-08-03,31.4
1955-08-04,30.2
1955-08-06,30.9
1955-08-07,30.6
1955-08-08,30.9
1955-08-09,30
1955-08-18,30
1955-08-30,31
1955-08-31,34
1955-09-01,32.8
1956-07-09,30.1
1956-07-25,32.1
1956-08-02,33.2
1956-08-03,32.7
1956-08-08,30.2
1956-08-09,32
1956-08-10,33.3
1956-08-11,30.5
1956-08-22,32
1956-08-27,32.6
1956-09-12,30.7
1956-09-14,32.6
1957-07-10,31.1
1957-07-17,30.6
1957-07-21,30.8
1957-08-03,31.2
1957-08-07,31.8
1957-08-08,30
1957-08-09,34.6
1957-08-21,30.6
1957-09-12,33.6
1958-07-08,30
1958-07-24,31.6
1958-07-31,32.2
1958-08-01,32
1958-08-02,31
1958-08-03,33.1
1958-08-04,30.4
1958-08-07,30
1958-08-12,30.5
1958-08-19,30.5
1958-09-12,31.2
1958-09-22,32.7
1959-06-24,30.3
1959-06-27,30.4
1959-07-03,31.2
1959-07-06,30
1959-07-07,32.2
1959-07-15,30.6
1959-07-19,30.6
1959-07-20,33
1959-07-21,32
1959-07-22,31.2
1959-07-23,30.8
1959-07-26,30.4
1959-07-27,30.4
1959-07-28,30.2
1959-07-29,33.6
1959-08-02,30.4
1959-08-06,30.6
1959-08-07,30.2
1959-08-10,33
1959-08-11,31.8
1959-08-12,30.5
1959-08-16,30
1959-08-17,30.5
1959-08-24,30.4
1959-09-17,31.2
1960-08-18,32.4
1960-08-19,30.2
1960-08-27,30.2
1960-08-28,31.8
1960-08-30,30.2
1961-06-20,30
1961-06-21,30
1961-06-27,31.4
1961-07-04,30.6
1961-07-05,32.4
1961-07-12,32.3
1961-07-17,31
1961-07-26,30.4
1961-07-27,33
1961-07-28,32.8
1961-07-29,30.4
1961-08-03,30
1961-08-08,30.1
1961-08-12,30
1961-08-15,30.2
1961-08-17,31
1961-08-30,30
1961-08-31,30.2
1962-06-25,31
1962-06-26,30
1962-07-04,30.3
1962-07-14,30.5
1962-07-16,30.6
1962-07-28,31.3
1962-08-05,30.2
1962-08-15,30
1962-08-20,31.6
1962-08-21,31.2
1962-08-22,31
1962-08-23,30.1
1962-09-01,32.2
1962-09-02,31
1962-09-07,33.8
1962-09-13,30.2
1963-06-21,30.2
1963-06-27,30.3
1963-07-07,31.4
1963-07-08,30
1963-07-10,30.4
1963-07-11,30
1963-07-13,31
1963-07-14,31.4
1963-07-18,30
1963-07-22,31.8
1963-07-23,30.6
1963-07-24,30
1963-07-25,30
1963-07-26,30
1963-08-03,32.4
1963-08-07,30.2
1963-08-09,31
1964-06-07,34
1964-06-28,31.6
1964-06-29,33.2
1964-06-30,32.4
1964-07-16,30.8
1964-07-17,31.8
1964-07-18,33
1964-07-19,30
1964-07-20,32.2
1964-07-21,32
1964-07-22,30.6
1964-07-23,30.2
1964-07-24,30.4
1964-07-25,30.4
1964-07-26,30.4
1964-07-27,31.2
1964-07-28,30.4
1964-07-29,30.8
1964-07-30,30
1964-07-31,30.2
1964-08-01,33.4
1964-08-02,36.2
1964-08-03,37.2
1964-08-05,30.2
1964-08-09,33
1964-08-29,30.2
1965-06-28,31.8
1965-06-29,32.4
1965-07-01,30.4
1965-07-02,31.2
1965-07-03,31.4
1965-07-04,33
1965-07-26,31
1965-08-06,30.8
1965-08-07,30.4
1965-08-14,30.4
1965-09-07,30.2
1966-06-15,31
1966-06-18,31
1966-06-20,31.2
1966-06-28,32.8
1966-07-06,30.2
1966-07-11,30.6
1966-07-14,32.4
1966-07-15,30.6
1966-07-16,30.4
1966-07-23,30.6
1966-08-11,30
1966-08-12,32
1966-08-13,30.8
1966-08-14,30.4
1966-08-15,30
1966-08-16,30.8
1966-09-09,30.6
1967-07-19,30
1967-07-20,31.8
1967-07-21,30.2
1967-07-22,30.6
1967-07-23,31.4
1967-07-24,30
1967-07-25,30.8
1967-07-29,30
1967-08-03,30.4
1967-08-10,32
1968-06-29,32.3
1968-06-30,32.3
1968-07-01,33
1968-07-09,30
1968-07-10,30
1968-07-11,33
1968-08-14,31.4
1968-08-23,32.6
1968-09-20,30
1968-09-21,31
1968-09-22,30
1968-09-23,32
1968-09-24,31
1969-07-12,31.9
1969-07-19,30
1969-07-21,35
1969-07-22,30
1969-07-23,30
1969-07-27,30
1969-07-28,30
1969-07-29,30.4
1969-08-06,30
1969-08-08,30.4
1969-08-09,30
1969-08-13,30
1969-08-15,30
1969-08-16,30.4
1969-08-17,30
1969-08-18,30
1969-08-20,30
1969-08-26,30
1969-08-27,30
1970-07-03,30
1970-07-09,30
1970-07-12,30
1970-07-13,30.4
1970-07-14,30
1970-07-15,30.2
1970-07-24,30
1970-07-25,32.2
1970-08-05,30.6
1970-08-07,30
1970-08-08,30.6
1970-08-09,32
1970-08-10,30.6
1970-09-06,30.2
1971-07-09,31
1971-07-10,31
1971-07-11,30.4
1971-07-12,30
1971-07-13,30.2
1971-07-14,33
1971-07-15,32.2
1971-07-16,32
1971-07-17,30
1971-07-18,34
1971-07-19,32
1971-07-20,30.8
1971-07-30,30
1971-07-31,32
1971-08-03,34.4
1971-08-05,34.2
1971-08-08,30.6
1971-08-14,30.1
1971-08-15,30
1971-08-16,32.6
1971-08-17,31.6
1971-08-19,32
1971-08-20,31.4
1971-08-26,32.8
1971-08-27,32.6
1971-08-30,30.2
1971-08-31,30.2
1971-09-10,31.8
1971-09-12,31
1972-07-08,31.4
1972-07-11,30
1972-07-12,30.4
1972-07-24,30.6
1972-07-25,30
1972-07-27,30
1972-08-17,30.4
1973-07-03,30.4
1973-07-06,31
1973-07-10,30.8
1973-07-11,32.2
1973-07-12,31.6
1973-07-15,31
1973-07-22,30.7
1973-07-24,34.8
1973-07-25,32
1973-08-03,30.4
1973-08-11,30
1973-08-12,31
1973-08-13,30
1973-08-14,30.1
1973-08-21,31.6
1973-08-22,30.6
1973-08-23,30.2
1973-08-28,31.2
1973-08-30,30.4
1973-09-29,30.4
1974-06-29,32.6
1974-07-03,34
1974-07-06,30.2
1974-07-09,32.8
1974-07-10,30.6
1974-07-11,30
1974-07-20,30.6
1974-07-21,30
1974-08-04,30.5
1974-08-08,31.6
1974-08-11,30
1974-08-18,31.2
1974-08-26,30.4
1975-06-30,30
1975-07-05,30.1
1975-07-15,30.8
1975-07-17,30
1975-07-18,32.6
1975-07-19,30
1975-07-23,30
1975-07-24,30
1975-07-31,31
1975-08-01,30.3
1975-08-02,31.8
1975-08-03,32.6
1975-08-04,31.6
1975-08-05,32
1975-08-06,31.4
1975-08-07,30.8
1975-08-08,35.3
1975-08-09,30.2
1975-08-10,30.2
1975-08-15,30
1975-08-17,30
1975-08-18,31.8
1975-08-25,30.4
1976-06-15,30
1976-06-16,30.8
1976-06-17,31.2
1976-06-23,31.6
1976-06-24,32.6
1976-07-08,30.4
1976-07-11,30.6
1976-07-18,30.4
1976-07-21,30
1976-07-29,30
1976-08-01,31.4
1976-08-10,31.4
1977-07-25,31.4
1978-07-15,31.6
1978-07-16,32
1978-07-17,32
1978-07-19,31.6
1978-07-21,30
1978-08-30,30.4
1978-09-07,30.6
1978-09-08,31
1979-07-08,30.3
1979-07-10,30.7
1979-07-11,31.7
1979-07-12,31.4
1979-07-13,31.6
1979-07-20,31.5
1979-07-21,30
1979-07-23,30.4
1979-07-27,30.4
1979-07-28,30.4
1979-07-29,31
1979-07-31,34.4
1979-08-06,31.6
1979-08-10,30.8
1979-08-17,30.6
1980-04-01,30.2
1980-07-24,30.4
1980-07-29,30.4
1980-08-01,30.6
1980-08-04,30.2
1980-08-05,30
1980-08-06,30.6
1980-08-08,30
1980-08-15,31.8
1980-08-16,31
1980-09-30,31
1980-10-01,30
1981-06-13,30.7
1981-06-14,31.6
1981-06-15,32.6
1981-06-16,33
1981-06-17,31.2
1981-07-08,31
1981-07-15,30
1981-07-19,30
1981-07-20,30
1981-08-04,30.8
1981-08-05,31
1981-08-06,30.5
1981-08-07,31.5
1981-08-08,30.4
1981-08-20,30.4
1981-08-24,30.2
1981-10-12,30.1
1982-06-15,30
1982-06-21,30.2
1982-07-05,30.4
1982-07-06,35.4
1982-07-07,37
1982-07-08,30.8
1982-07-09,31.4
1982-07-11,30
1982-07-12,30.5
1982-07-13,30.6
1982-07-14,31.5
1982-07-16,30.2
1982-07-17,30.4
1982-07-18,31.8
1982-07-19,31.8
1982-07-20,30.4
1982-07-21,30.3
1982-07-22,30
1982-07-23,30.6
1982-07-25,32
1982-07-26,32
1982-08-04,30.2
1982-08-08,32
1982-08-09,30
1982-08-17,32
1982-09-21,30
1983-06-13,31.4
1983-06-14,30
1983-06-28,30.2
1983-07-09,30.2
1983-07-10,30.8
1983-07-11,31.2
1983-07-12,30.2
1983-07-13,30.8
1983-07-14,32.6
1983-07-15,31
1983-07-19,32.8
1983-07-20,30.4
1983-07-21,31.7
1983-07-22,34.4
1983-07-23,30.6
1983-07-25,30.3
1983-07-26,31
1983-07-27,30.3
1983-07-29,31.6
1983-07-30,35.6
1983-07-31,33.7
1983-08-01,33
1983-08-02,31.2
1983-08-06,30
1983-08-11,31.8
1983-08-12,31.2
1983-08-13,31.6
1983-09-10,30.6
1983-09-25,30
1983-09-26,31.4
1983-09-28,32
1984-07-12,30.6
1984-07-13,30.6
1984-07-16,30.3
1984-07-23,30.6
1984-07-24,31.6
1984-07-26,30
1984-07-28,30.4
1984-08-01,31.4
1984-08-05,30.4
1984-08-06,30.6
1984-08-25,30.6
1985-07-02,30.6
1985-07-04,31.4
1985-07-08,30
1985-07-10,31.2
1985-07-16,31.8
1985-07-23,30
1985-07-24,31.4
1985-07-25,31.6
1985-07-26,31
1985-07-28,30
1985-07-29,34
1985-10-13,30
1986-05-21,30.2
1986-06-23,31.2
1986-06-27,31
1986-06-28,30.4
1986-06-30,32.4
1986-07-01,30
1986-07-04,30.4
1986-07-06,37.4
1986-07-07,30
1986-07-18,31.6
1986-07-19,32.8
1986-07-24,30.4
1986-07-28,30
1986-08-04,30
1986-08-07,30
1986-08-10,30
1986-08-18,35
1986-08-19,33.2
1986-08-22,30
1986-08-23,30
1986-08-24,30
1986-08-26,31
1987-07-01,30.6
1987-07-02,30.5
1987-07-03,30.8
1987-07-04,33.5
1987-07-05,31
1987-07-06,31.8
1987-07-11,30
1987-07-13,31
1987-07-14,31
1987-07-17,32.7
1987-07-30,31
1987-08-01,30.5
1987-08-12,32.6
1987-08-13,31.2
1987-08-14,32.8
1987-08-15,35.7
1987-08-16,33.6
1987-08-17,30
1987-08-18,32.2
1987-08-19,30.2
1987-08-20,31
1987-08-21,31
1987-08-22,31
1987-08-25,30
1987-09-08,30
1987-09-14,30.8
1987-09-16,30.4
1987-09-17,33.4
1987-09-18,31.6
1987-09-19,32.2
1987-09-20,31.6
1987-09-23,32.5
1987-09-25,32.5
1987-09-26,30
1988-07-07,30.7
1988-07-20,33.2
1988-07-21,33.6
1988-07-26,30.4
1988-07-27,34.4
1988-07-29,30.2
1988-08-02,31.6
1988-08-03,34
1988-08-04,30.6
1988-08-08,32.5
1988-08-09,30.2
1988-08-10,30.2
1988-08-11,30.2
1988-08-12,32
1988-08-13,30.6
1988-08-14,33
1988-08-15,32.6
1988-08-16,31.6
1988-08-17,32.2
1988-08-18,31.6
1988-08-19,30.4
1988-08-20,34.4
1988-08-22,30
1988-08-25,31.4
1988-08-29,33
1988-09-06,30.4
1988-10-05,30
1989-06-22,31
1989-06-28,30.1
1989-07-02,34.4
1989-07-08,31.2
1989-07-11,30.3
1989-07-13,32.7
1989-07-14,31.7
1989-07-18,30.6
1989-07-20,30.2
1989-07-21,32.5
1989-07-22,31.7
1989-07-23,31.4
1989-07-24,30.5
1989-07-25,32
1989-07-26,32.4
1989-07-27,33.2
1989-07-28,31.4
1989-07-30,32.5
1989-07-31,31.6
1989-08-01,35
1989-08-10,30
1989-08-22,30.5
1989-08-23,31.9
1989-08-25,30.5
1989-08-26,30.4
1989-08-27,32.7
1989-08-28,31.4
1990-06-08,30.2
1990-07-10,33.2
1990-07-15,30.2
1990-07-16,32.7
1990-07-17,30.5
1990-07-18,30
1990-07-22,30.6
1990-07-23,30.4
1990-07-24,32.4
1990-07-25,31
1990-07-26,31.4
1990-07-27,30
1990-07-28,30
1990-07-29,30.2
1990-08-01,31
1990-08-02,31
1990-08-03,32.4
1990-08-04,34
1990-08-05,33.4
1990-08-06,35.4
1990-08-13,30.2
1990-08-16,30.5
1990-08-20,34.2
1990-08-21,32.8
1990-08-22,32.7
1990-09-20,31.6
1991-07-07,32.4
1991-07-08,30.6
1991-07-09,31.2
1991-07-10,30.9
1991-07-11,30.6
1991-07-14,33
1991-07-15,31
1991-07-16,30.4
1991-07-17,30.3
1991-07-19,30.3
1991-07-20,31.3
1991-07-21,31.7
1991-07-22,31.5
1991-07-23,31.3
1991-07-24,31.4
1991-07-25,30.3
1991-07-26,31
1991-07-29,31.7
1991-07-30,32.4
1991-07-31,31.5
1991-08-01,34.4
1991-08-02,33
1991-08-04,30.5
1991-08-05,30.4
1991-08-06,31.2
1991-08-07,30
1991-08-08,31.2
1991-08-12,30.2
1991-08-13,31.4
1991-08-14,31.2
1991-08-15,30.4
1991-08-16,32
1991-08-17,30.4
1991-08-22,30
1991-08-25,30.6
1991-08-26,30.8
1991-08-27,33.4
1991-08-28,31.8
1991-08-29,35.2
1991-08-30,30
1991-09-23,31.6
1992-07-18,30.3
1992-07-19,30.1
1992-07-20,31.4
1992-07-25,30
1992-07-26,30.4
1992-07-27,31.5
1992-07-28,32.5
1992-07-29,31.5
1992-08-01,30.5
1992-08-02,34.5
1992-08-03,34.2
1992-08-04,30.5
1992-08-06,30.5
1992-08-07,30.5
1992-08-08,30.2
1992-08-24,30.6
1992-08-25,31
1992-08-26,31.5
1992-09-04,31.6
1993-06-27,30
1993-06-29,31.2
1993-07-04,33.4
1993-07-05,32.8
1993-07-06,31.6
1993-07-16,30
1993-07-30,30.2
1993-07-31,31
1993-08-04,32
1993-08-05,35.4
1993-08-06,35
1993-08-07,30.7
1993-08-08,31.5
1993-08-09,31.6
1993-08-10,31
1993-08-11,30.8
1993-08-16,30.2
1993-08-17,30.5
1993-08-18,31.6
1993-08-19,32.1
1993-08-20,31.2
1993-08-21,32
1994-06-02,30.4
1994-07-02,30.7
1994-07-03,31
1994-07-04,33
1994-07-05,32.4
1994-07-06,32.2
1994-07-07,30.2
1994-07-13,30
1994-07-14,31.8
1994-07-15,31.4
1994-07-16,33.8
1994-07-17,31.8
1994-07-18,31.3
1994-07-19,30.2
1994-07-20,30
1994-07-25,30
1994-07-26,31.8
1994-07-27,31.6
1994-07-28,32.2
1994-07-29,31.1
1994-07-30,30.6
1994-07-31,31.1
1994-08-03,30.4
1994-08-04,31.3
1994-08-05,30.4
1994-08-06,31
1994-08-07,31.5
1994-08-08,31.4
1994-08-09,31
1994-08-10,33.5
1994-08-11,33.1
1994-08-13,30
1994-08-16,32.4
1994-08-17,30.8
1994-08-18,31.9
1994-08-19,30.3
1994-08-20,30
1994-08-21,33
1994-08-22,32.1
1994-08-23,31.5
1994-08-24,31.7
1994-08-25,32
1994-08-26,32.5
1994-08-28,30
1994-08-31,30
1994-09-02,30.6
1994-09-03,30.5
1994-09-04,30.5
1994-09-10,31.6
1995-06-29,30.4
1995-07-01,30
1995-07-03,30.8
1995-07-09,31.4
1995-07-15,30
1995-07-18,30.1
1995-07-19,31.2
1995-07-20,30.6
1995-07-21,31.4
1995-07-22,32.5
1995-07-23,31.5
1995-07-24,30.3
1995-07-25,30
1995-07-28,30.4
1995-07-30,31.7
1995-07-31,30.4
1995-08-04,30.2
1995-08-05,30.6
1995-08-06,30.4
1995-08-10,31
1995-08-11,32
1995-08-12,31.4
1995-08-13,33
1995-08-14,30.4
1995-08-15,30.5
1995-08-21,30.4
1995-08-24,30
1995-08-25,30.5
1995-08-26,32
1995-08-28,31
1995-09-07,31.2
1996-05-27,30.8
1996-06-12,31.6
1996-06-13,32.5
1996-06-20,30.5
1996-06-21,30
1996-07-15,30.2
1996-07-16,31.6
1996-07-17,31.2
1996-07-18,30.4
1996-07-19,30.5
1996-07-20,30.4
1996-07-24,31.6
1996-07-25,32
1996-07-26,30.2
1996-07-28,30.4
1996-07-29,30
1996-07-30,33.7
1996-08-12,31.1
1996-09-05,30
1996-09-07,32.6
1997-06-08,30.2
1997-06-11,31.3
1997-06-26,30.8
1997-07-15,30.5
1997-07-18,31.1
1997-07-24,32.5
1997-07-25,33.4
1997-07-26,31
1997-07-27,30.4
1997-07-28,30
1997-07-29,31.4
1997-07-30,32.6
1997-07-31,33
1997-08-01,32.8
1997-08-02,31.6
1997-08-03,30.7
1997-08-04,31
1997-08-08,31.4
1997-08-09,30.6
1997-08-11,30
1997-08-14,30.7
1997-08-15,30.5
1997-08-20,30
1997-08-22,30.6
1997-08-26,30
1997-08-27,30
1997-09-10,30
1997-10-10,31.8
1997-10-11,31.7
1998-06-04,30.5
1998-06-29,30.2
1998-06-30,30.6
1998-07-02,32
1998-07-03,32.7
1998-07-04,30.4
1998-07-05,30.4
1998-07-07,32.4
1998-07-19,33
1998-07-20,30.1
1998-07-22,30.2
1998-07-23,30.3
1998-07-24,30.2
1998-07-25,30.2
1998-07-26,31.3
1998-07-27,30
1998-07-28,31.5
1998-07-29,31.4
1998-07-30,30.4
1998-08-04,31.4
1998-08-05,34
1998-08-06,31.2
1998-08-07,30
1998-08-08,30.3
1998-08-09,33.5
1998-08-10,32.1
1998-08-11,32.5
1998-08-12,31.4
1998-08-13,31.7
1998-08-14,30.5
1998-08-15,31
1998-08-16,31.4
1998-08-17,30.6
1998-08-20,30.8
1998-08-21,33.4
1998-08-22,31.1
1998-08-23,30.5
1998-08-24,33.2
1998-08-25,31.1
1998-08-26,30.2
1998-08-27,30
1998-09-05,30.4
1998-09-07,30.7
1999-05-14,31
1999-06-02,31.4
1999-06-18,30.4
1999-06-19,30.4
1999-06-21,30.8
1999-07-07,30.7
1999-07-08,30
1999-07-13,30.4
1999-07-14,31.2
1999-07-19,30.4
1999-07-20,30.1
1999-07-21,30.2
1999-07-22,30.7
1999-07-23,30.2
1999-07-27,30
1999-07-29,31.7
1999-07-30,35.8
1999-08-04,30.5
1999-08-06,30.1
1999-08-08,33
1999-08-09,34.6
1999-08-10,33.6
1999-08-11,30
1999-08-12,30.6
1999-08-14,30.2
1999-08-15,30.6
1999-08-18,30.5
1999-08-20,31.6
1999-08-23,30.5
1999-08-24,30.4
1999-08-25,33
1999-08-27,30.4
1999-08-28,31.1
1999-08-29,30.8
1999-08-30,31.3
1999-09-02,32
1999-09-03,30
1999-09-09,30.2
1999-09-10,30.3
1999-09-16,30.2
2000-05-29,31.7
2000-06-15,30.2
2000-06-16,34.6
2000-07-03,30.5
2000-07-04,31.3
2000-07-07,36.4
2000-07-08,31.4
2000-07-10,31
2000-07-14,31.7
2000-07-15,31.6
2000-07-24,31.3
2000-08-07,30.7
2000-08-12,30.2
2000-08-15,30.7
2000-08-16,30.5
2000-08-17,30
2000-08-18,31.2
2000-08-20,30.3
2000-08-21,33.6
2000-08-24,35.3
2000-08-25,31.3
2000-08-26,34.5
2000-08-27,32.1
2000-09-07,30.3
2001-06-03,30
2001-06-23,30.6
2001-06-24,30.8
2001-06-25,31.9
2001-06-28,31
2001-06-30,30.4
2001-07-01,32.8
2001-07-07,31.7
2001-07-10,32.4
2001-07-20,30.4
2001-07-25,30.5
2001-07-28,30.7
2001-07-29,30.8
2001-07-30,33.1
2001-07-31,34.6
2001-08-01,34
2001-08-02,31.7
2001-08-03,32.2
2001-08-06,34
2001-08-08,31.2
2001-08-10,30.2
2001-08-14,30.2
