fecha,maxima
1952-08-09,37.1
1952-08-15,37.6
1954-08-04,37.0
1954-08-06,38.9
1954-08-09,38.4
1955-07-26,36.0
1955-08-31,37.4
1956-07-13,35.0
1956-07-29,39.1
1956-08-17,38.2
1956-08-18,37.4
1956-08-22,35.8
1956-08-25,38.6
1957-08-08,36.1
1957-08-09,36.1
1959-07-23,35.0
1961-07-12,35.8
1962-07-14,41.0
1962-09-04,35.4
1963-07-10,36.0
1964-07-09,37.0
1965-07-22,35.4
1966-08-04,39.5
1966-08-29,35.4
1967-07-22,36.4
1968-06-30,35.4
1968-07-13,36.6
1968-07-14,36.5
1968-08-14,35.2
1969-08-15,37.5
1970-07-09,35.4
1970-08-19,36.6
1971-07-18,35.2
1971-08-03,35.5
1971-08-05,36.7
1974-08-07,40.0
1976-07-12,35.6
1977-07-25,37.6
1978-09-01,35.2
1980-07-15,37.4
1982-06-21,35.4
1982-06-25,35.4
1982-07-07,36.0
1982-07-08,35.2
1982-07-14,35.4
1982-07-21,36.6
1982-07-28,37.2
1982-09-06,35.8
1983-07-27,35.6
1984-07-11,35.6
1984-07-31,35.0
1985-07-09,38.6
1985-07-28,38.4
1985-07-29,36.4
1986-07-06,41.8
1986-08-18,35.2
1986-08-26,36.6
1987-07-16,35.6
1987-07-17,35.6
1987-08-06,35.8
1987-08-17,36.0
1988-08-03,37.8
1988-09-01,35.4
1990-06-22,35.0
1990-07-26,37.0
1990-08-04,35.4
1990-08-05,35.2
1990-09-22,35.0
1991-07-29,36.0
1991-08-22,36.7
1992-05-18,35.0
1992-07-27,35.4
1992-08-20,36.2
1993-08-06,37.2
1994-07-31,35.5
1994-08-11,37.7
1994-08-23,42.5
1994-09-08,35.2
1995-07-02,36.0
1996-07-05,37.8
1996-08-23,37.6
1997-06-21,36.2
1998-06-10,38.2
1998-07-01,35.5
1998-07-02,35.6
1998-07-07,36.5
1998-09-04,37.2
1999-05-14,36.2
1999-08-08,35.6
1999-08-09,35.6
1999-09-03,38.4
2000-06-16,35.2
2000-07-03,37.2
2000-07-07,40.3
2000-07-10,35.8
2000-07-24,35.0
2000-07-25,36.0
2000-08-20,35.6
2000-08-21,38.0
2000-08-26,37.8
2001-08-29,39.0
2002-07-23,35.0
2003-06-15,35.7
2003-06-16,36.0
2003-06-21,35.0
2003-06-30,36.5
2003-07-02,36.2
2003-07-16,36.2
2003-07-27,38.4
2003-08-11,36.1
2003-08-13,36.9
2003-08-14,36.2
2004-06-23,36.8
2004-08-03,38.8
2004-08-09,37.8
2004-08-12,37.8
2004-08-18,35.0
2004-08-19,38.2
2005-06-21,35.0
2005-06-29,37.5
2005-07-29,36.8
2005-09-16,37.5
2007-06-25,38.2
2007-07-23,37.0
2007-08-29,39.0
2008-08-12,38.5
2008-09-03,36.0
2008-09-04,36.0
2009-07-23,39.5
2009-09-03,35.2
2010-05-31,36.2
2010-08-23,40.0
2010-08-27,43.0
2011-07-17,37.1
2011-08-26,36.2
2012-06-10,36.2
2012-06-21,37.0
2012-08-15,38.2
2013-07-28,36.5
2014-07-06,35.4
2014-08-26,41.6
2014-09-11,36.7
2014-10-21,35.8
2015-05-03,35.2
2015-05-14,42.0
2015-07-07,35.2
2015-08-13,37.8
2016-09-04,35.1
2017-07-08,35.0
2017-08-03,35.7
2017-09-11,36.1
2017-09-14,37.0
2017-09-25,35.2
2018-07-02,35.8
2018-07-16,37.2
2018-08-05,37.0
2019-06-29,35.5
2019-07-07,37.8
2019-07-27,36.0
2019-08-08,35.5
2019-08-09,41.4
2019-10-01,35.0
2021-05-16,35.0
2021-07-04,38.8
2021-07-06,39.0
2021-07-12,39.6
2021-08-07,39.0
2021-08-12,36.4
2022-06-17,36.6
2022-07-16,35.7
2022-08-12,36.5
2022-08-13,38.0
2022-08-14,37.0
2022-08-31,37.0
2022-09-02,36.6
2023-07-24,35.1
2023-08-02,35.6
2023-08-10,44.5
2023-08-22,35.3
2023-08-23,36.8
2023-08-24,36.4
