year,temp
1953,7.6
1954,5.4
1955,8.3
1956,1.1
1957,9.1
1958,9.2
1959,8.4
1960,8.3
1961,13.9
1962,8.3
1963,4.5
1964,9.7
1965,5.1
1966,9.5
1967,8.6
1968,7.2
1969,5.2
1970,7.8
1971,8.6
1972,6
1973,6.5
1974,5.9
1975,7.9
1976,7.4
1977,8.7
1978,8.3
1979,7
1980,9.1
1981,6.6
1982,7.7
1984,6.9
1985,10.8
1986,6.8
1987,8.4
1988,8.4
1989,10.2
1990,13.5
1991,6.9
1992,10.5
1993,7.7
1994,8.8
1995,11.3
1996,6.7
1997,13.2
1998,11.4
1999,7.9
2000,13.3
2001,9.5
2002,11.3
2003,6.6
2004,10.3
2005,5.9
2006,8.7
2007,10.5
2008,11.1
2009,9.6
2010,7.6
2011,10.5
2012,6.6
2013,7.1
2014,8.3
2015,6.2
2016,8.9
2017,11
2018,6.2
2019,12.8
