year,temp
1960,16.2
1961,21.1
1962,17.2
1963,13.4
1964,15.9
1965,15.9
1966,17.5
1967,17.4
1968,15.6
1969,14.3
1970,18.2
1971,18.1
1972,15.2
1973,15.9
1974,15.7
1975,16.7
1976,16.8
1977,15.9
1978,17
1979,15.4
1980,17.7
1981,17.2
1987,16
1988,16.2
1989,17.8
1990,20.4
1991,13.9
1992,17.6
1993,17.5
1994,16.4
1995,18.5
1996,15.4
1997,20.1
1998,18.6
1999,17.2
2000,21.6
2001,17.2
2002,19
2003,15.5
2004,17.4
2005,15.5
2006,15.7
2007,17.4
2008,19.7
2009,17.6
2010,15.5
2011,16.9
2012,17.1
2013,15.8
2014,15.6
2015,16.2
2016,17.2
2017,17.9
2018,16.7
2019,20.1
