fecha,maxima,minima
1951-02-21,16.6,10.4
1952-02-21,16,10
1953-02-21,17,5.3
1954-02-21,16.4,6.3
1955-02-21,16.5,8
1956-02-21,12,2.5
1957-02-21,17.5,8.5
1958-02-21,16.6,9.2
1959-02-21,16.8,7.6
1960-02-21,16,11.3
1961-02-21,19.2,12.2
1962-02-21,16.4,7.4
1963-02-21,15.5,9.2
1964-02-21,16.5,9.5
1965-02-21,14,6.6
1966-02-21,15,11.6
1967-02-21,16.7,8.2
1968-02-21,15.6,8.4
1969-02-21,16.4,9.4
1970-02-21,18,7.6
1971-02-21,17,9.4
1972-02-21,16,8
1973-02-21,14,5
1974-02-21,14,9.6
1975-02-21,18.6,8.6
1976-02-21,19,9.6
1977-02-21,17.6,12
1978-02-21,17.4,11
1979-02-21,16.6,8.6
1980-02-21,17,12.2
1981-02-21,15,7.4
1982-02-21,19,8.6
1983-02-21,15.8,7
1984-02-21,18,8.2
1985-02-21,14.8,8
1986-02-21,21.6,11.4
1987-02-21,10.4,7.4
1988-02-21,18,9.6
1989-02-21,17.2,9
1990-02-21,20.2,8
1991-02-21,19.4,8
1992-02-21,16.2,7.6
1993-02-21,17.2,9
1994-02-21,20.4,10
1995-02-21,18,9.4
1996-02-21,14.2,7
1997-02-21,21,12
1998-02-21,16.8,10.6
1999-02-21,17.6,7
2000-02-21,19.6,10.8
2001-02-21,16.4,8.6
2002-02-21,20.4,11.4
2003-02-21,17.5,8
2004-02-21,19,11.2
2005-02-21,16.8,6.2
2006-02-21,15.1,8.3
2007-02-21,16.4,10.3
2008-02-21,18.8,12.4
2009-02-21,15.8,8.2
2010-02-21,14.6,9.2
2011-02-21,20,11.2
2012-02-21,16.1,6.6
2013-02-21,18.6,8.3
2014-02-21,20.3,9.9
2015-02-21,20.3,7.6
2016-02-21,20.6,13.2
2017-02-21,19.2,14.6
2018-02-21,19.4,9.8
2019-02-21,19.3,8.3
1951-02-22,18.5,11.5
1952-02-22,18.9,11.1
1953-02-22,18.6,9.2
1954-02-22,19,9.4
1955-02-22,13.6,7.5
1956-02-22,14.1,4.4
1957-02-22,17.3,9.5
1958-02-22,14.9,6.8
1959-02-22,16.2,6.7
1960-02-22,17.5,12.5
1961-02-22,20,10.7
1962-02-22,15.6,8
1963-02-22,14.8,8.1
1964-02-22,18.6,11
1965-02-22,14.5,8.6
1966-02-22,15.5,10.4
1967-02-22,19.5,10.3
1968-02-22,15.2,10.8
1969-02-22,16,11
1970-02-22,18,9
1971-02-22,16.2,8.2
1972-02-22,17.4,11
1973-02-22,16,5
1974-02-22,15.2,8.8
1975-02-22,16.6,11
1976-02-22,16.6,8.4
1977-02-22,15.6,11.4
1978-02-22,23.6,11.6
1979-02-22,16.8,11.2
1980-02-22,18.2,12.8
1981-02-22,16.2,4.8
1982-02-22,22.2,9
1983-02-22,16.8,8.2
1984-02-22,19,9
1985-02-22,18,8.6
1986-02-22,21.4,12.6
1987-02-22,14,7.2
1988-02-22,16.2,11.6
1989-02-22,17.8,8.6
1990-02-22,20.8,9
1991-02-22,20.2,8.4
1992-02-22,14.4,6.4
1993-02-22,18.6,8.2
1994-02-22,20.2,9.8
1995-02-22,18.6,9.8
1996-02-22,15.4,6.4
1997-02-22,19.8,11.6
1998-02-22,19.8,10.2
1999-02-22,19.2,8.2
2000-02-22,18.4,13
2001-02-22,17.4,8.2
2002-02-22,21.2,10.6
2003-02-22,17,10.5
2004-02-22,16.7,8
2005-02-22,16,4
2006-02-22,14.8,7.6
2007-02-22,18,10
2008-02-22,17,12.2
2009-02-22,15.8,7.5
2010-02-22,18.8,13.4
2011-02-22,19.1,14.3
2012-02-22,15.4,6.2
2013-02-22,19.2,12.8
2014-02-22,17.3,9.6
2015-02-22,18,13.3
2016-02-22,18.8,11.1
2017-02-22,22.3,14.8
2018-02-22,15.5,8.1
2019-02-22,16.8,7
1951-02-23,17,10.9
1952-02-23,15.9,9.5
1953-02-23,15.5,7.5
1954-02-23,15.5,8.5
