fecha,maxima,minima
1950-02-21,19.2,9.2
1951-02-21,12,6.6
1952-02-21,11.2,4
1953-02-21,9.6,5
1954-02-21,18,5
1955-02-21,12,3.8
1956-02-21,7.2,0
1957-02-21,12.4,7.8
1958-02-21,14.4,3.8
1959-02-21,17,5
1960-02-21,12.4,7
1961-02-21,14.2,5.2
1962-02-21,17.6,7.6
1963-02-21,9.4,2.4
1964-02-21,14.2,9.8
1965-02-21,7.8,2.8
1966-02-21,9.2,4.4
1967-02-21,16.8,8
1968-02-21,9,4.8
1969-02-21,12.4,7.8
1970-02-21,18.6,7.8
1971-02-21,20,8.4
1972-02-21,11,6.2
1973-02-21,15.4,5.4
1974-02-21,11.8,2
1975-02-21,17,9.4
1976-02-21,16.6,7.2
1977-02-21,9.6,5.6
1978-02-21,14,7.6
1979-02-21,11.4,7
1980-02-21,11.4,6
1981-02-21,13,2.2
1982-02-21,12.8,7
1987-02-21,4.2,-0.4
1988-02-21,17.2,9.6
1989-02-21,16.8,9.8
1990-02-21,20.8,7.8
1991-02-21,11,7
1992-02-21,10.8,0.4
1993-02-21,17.6,2.8
1994-02-21,15.4,6.6
1995-02-21,15.8,6.4
1996-02-21,8.4,-1.6
1997-02-21,21,7
1998-02-21,14.6,8
1999-02-21,20,6.8
2000-02-21,19.4,5.2
2001-02-21,17.5,3
2002-02-21,17.4,6.4
2003-02-21,12.2,3.2
2004-02-21,11.2,5
2005-02-21,10.4,2.4
2006-02-21,11.8,3.4
2007-02-21,13.7,3
2008-02-21,17.5,6.8
2009-02-21,17.2,4.2
2010-02-21,12.4,6.5
2011-02-21,15.6,7.4
2012-02-21,15.4,-1.8
2013-02-21,14.4,8.6
2014-02-21,10.8,5.6
2015-02-21,15.8,6.8
2016-02-21,14.2,5.4
2017-02-21,16.8,5.3
2018-02-21,15.2,3.2
2019-02-21,18.6,4.6
1950-02-22,19,10
1951-02-22,11.2,5.4
1952-02-22,12.4,3.4
1953-02-22,13,2.6
1954-02-22,18.6,6.8
1955-02-22,10,6.2
1956-02-22,8.8,2.8
1957-02-22,12,8.2
1958-02-22,16.8,5.4
1959-02-22,17.8,5.4
1960-02-22,10,3.6
1961-02-22,17.6,7
1962-02-22,15,6
1963-02-22,10.2,1.8
1964-02-22,12,9.2
1965-02-22,9.8,2.6
1966-02-22,10.4,4.2
1967-02-22,19.6,7.4
1968-02-22,10.6,4.4
1969-02-22,12.2,6.8
1970-02-22,18.8,8.8
1971-02-22,18.8,8.4
1972-02-22,9.6,4
1973-02-22,16.8,4.4
1974-02-22,13.4,3.2
1975-02-22,11.4,8.8
1976-02-22,17,7
1977-02-22,9.4,4
1978-02-22,15.2,8.4
1979-02-22,12.8,6.6
1980-02-22,11.2,8
1981-02-22,15,4
1982-02-22,13.4,5
1987-02-22,9.6,-2
1988-02-22,15,8.6
1989-02-22,14.4,5.6
1990-02-22,19.6,9.4
1991-02-22,14,3.4
1992-02-22,12.6,-0.6
1993-02-22,15,5
1994-02-22,13.4,10.4
1995-02-22,13.2,2.6
1996-02-22,8.6,-1.4
1997-02-22,18.8,10.4
1998-02-22,13,3.6
1999-02-22,18.6,10.4
2000-02-22,18.2,7
2001-02-22,20.2,3
2002-02-22,19.6,4.6
2003-02-22,14.8,7.8
2004-02-22,8,3.5
2005-02-22,11.6,1.6
2006-02-22,10.8,1.8
2007-02-22,16.2,8.4
2008-02-22,17.6,7.5
2009-02-22,16.1,3.5
2010-02-22,15.8,9.4
2011-02-22,17.2,9.6
2012-02-22,16,-0.7
2013-02-22,11.4,6.3
2014-02-22,12.1,4.7
2015-02-22,16.1,4.4
2016-02-22,16.9,3.6
2017-02-22,18.9,5.9
2018-02-22,13.9,-0.7
2019-02-22,20.2,4.6
1950-02-23,14,6.8
1951-02-23,12.2,7.8
1952-02-23,14.2,6.6
1953-02-23,17.2,6.6
1954-02-23,19.2,8
1955-02-23,9.4,3.4
1956-02-23,8,2.8
1957-02-23,17.2,7.4
1958-02-23,18.8,5
1959-02-23,17.6,7
1960-02-23,13.4,5
1961-02-23,18,7.6
1962-02-23,13.6,6.8
1963-02-23,11.4,2.4
1964-02-23,13,9
1965-02-23,7.4,1.8
1966-02-23,12.6,3
1967-02-23,19.8,9.6
1968-02-23,13,5.4
1969-02-23,10.8,5.8
1970-02-23,17,5.8
1971-02-23,17.2,6.8
1972-02-23,13.2,5.8
1973-02-23,16.2,5.4
1974-02-23,15.6,4
1975-02-23,12.8,7.8
1976-02-23,19.2,6.6
1977-02-23,8.4,4.8
1978-02-23,14.4,9.8
1979-02-23,13.8,4.8
1980-02-23,15,8.6
1981-02-23,15,2
1982-02-23,11.4,3
1987-02-23,7.2,2.2
1988-02-23,16.4,9
1989-02-23,12.4,5
1990-02-23,20.2,7.6
1991-02-23,15.8,2.6
1992-02-23,13.2,1.4
1993-02-23,10.8,0.6
1994-02-23,13.4,7.8
1995-02-23,14,2.6
1996-02-23,10.6,-2.2
1997-02-23,16.2,10.2
1998-02-23,13.2,1.2
