fecha,maxima,minima
1950-02-21,18.1,5.4
1951-02-21,10.3,6.2
1952-02-21,12.2,0.7
1953-02-21,11.7,2.2
1954-02-21,14,0.4
1955-02-21,8.2,-1.4
1956-02-21,4.5,-1
1957-02-21,12.2,6.4
1958-02-21,12.2,0.6
1959-02-21,15.2,3
1960-02-21,10.8,5.4
1961-02-21,11.6,5.4
1962-02-21,15.2,3.6
1963-02-21,8,2
1964-02-21,13.2,8
1965-02-21,5.6,-2.8
1966-02-21,8.4,3.2
1967-02-21,14,6
1968-02-21,8.2,4.6
1969-02-21,9.4,6.6
1970-02-21,16.2,3.2
1971-02-21,15.8,4
1972-02-21,10.8,1.6
1973-02-21,13.8,0.8
1974-02-21,11.6,1.8
1975-02-21,13.8,5.4
1976-02-21,13.4,4.2
1977-02-21,9.2,5.2
1978-02-21,11.6,6
1979-02-21,9.6,3.8
1980-02-21,11.6,7.2
1981-02-21,8.4,-1.4
1982-02-21,13,7.2
1983-02-21,11.6,4.6
1984-02-21,12,4.2
1985-02-21,5.4,1.6
1986-02-21,10.4,4.6
1987-02-21,4,-1.4
1988-02-21,13.8,5.7
1989-02-21,14.5,8.6
1990-02-21,18,9
1991-02-21,11.9,2.6
1992-02-21,9,-0.5
1993-02-21,18,2.6
1994-02-21,11.6,3.1
1995-02-21,15,3.5
1996-02-21,6.2,-1
1997-02-21,19,8
1998-02-21,11.6,7.4
1999-02-21,18.4,5
2000-02-21,17.4,5
2001-02-21,16.2,1.8
2002-02-21,15.2,5.2
2003-02-21,9.9,0.9
2004-02-21,9.7,2.7
2005-02-21,6.8,0
2006-02-21,8.2,3
2007-02-21,12.7,3.2
2008-02-21,15.2,8.2
2009-02-21,15.2,3.2
2010-02-21,6.6,1.8
2011-02-21,12.6,6.2
2012-02-21,12,-0.2
2013-02-21,9.8,6.6
2014-02-21,10.5,4.2
2015-02-21,13,5
2016-02-21,13.7,4.2
2017-02-21,16,4.7
2018-02-21,12,3.2
2019-02-21,16.2,5.2
1950-02-22,19,5.8
1951-02-22,9.8,3.4
1952-02-22,10.6,0.6
1953-02-22,12,2.2
1954-02-22,14.5,3.8
1955-02-22,8.4,2.2
1956-02-22,7.1,-1.3
1957-02-22,13.1,6.5
1958-02-22,12.8,0.8
1959-02-22,15,2.4
1960-02-22,9.2,3.8
1961-02-22,14.5,4.5
1962-02-22,13.6,2.6
1963-02-22,8.6,1.2
1964-02-22,13,7.8
1965-02-22,6.4,0.4
1966-02-22,10.2,4.4
1967-02-22,17.1,5.3
1968-02-22,10,3
1969-02-22,6.6,5.6
1970-02-22,17,2.8
1971-02-22,16.2,5.4
1972-02-22,8.4,2.6
1973-02-22,13,1.6
1974-02-22,10.6,1.2
1975-02-22,10.6,6
1976-02-22,14.2,2.4
1977-02-22,8.6,3.4
1978-02-22,16,4.8
1979-02-22,11.4,3
1980-02-22,10,7.4
1981-02-22,12.2,2
1982-02-22,12,4.6
1983-02-22,14,7.4
1984-02-22,10.6,3
1985-02-22,10,3.2
1986-02-22,9.8,1.8
1987-02-22,9,-3.2
1988-02-22,11.4,7.2
1989-02-22,16.1,6.1
1990-02-22,17,8
1991-02-22,11.4,3.9
1992-02-22,9.1,-1.2
1993-02-22,12.3,2.8
1994-02-22,11,5.6
1995-02-22,11.6,3.5
1996-02-22,6.6,-1.8
1997-02-22,17.4,9.6
1998-02-22,11.7,4.6
1999-02-22,19.4,8.2
2000-02-22,16,4.8
2001-02-22,17.4,2.4
2002-02-22,17,3
2003-02-22,7.1,5.7
2004-02-22,8.8,0.5
2005-02-22,8,-1
2006-02-22,7,1.7
2007-02-22,12.4,5
2008-02-22,16.4,7.4
2009-02-22,15,3.8
2010-02-22,11.6,6
2011-02-22,15,10
2012-02-22,14.6,0.4
2013-02-22,12,4.8
2014-02-22,10.6,2
2015-02-22,13.8,2.2
2016-02-22,15.2,5
2017-02-22,18.5,7
2018-02-22,11.3,-0.5
2019-02-22,18.1,5
1950-02-23,12.4,5.1
1951-02-23,9,3
1952-02-23,11,2.8
1953-02-23,14.6,0.8
1954-02-23,14.8,4.2
1955-02-23,9.2,4.4
1956-02-23,3.6,0.5
1957-02-23,15.4,5.2
1958-02-23,15.7,1.1
1959-02-23,16.4,2.2
1960-02-23,12.2,5.6
1961-02-23,15.4,5.6
1962-02-23,13.6,2.2
1963-02-23,9.6,0.4
1964-02-23,11.8,7.8
1965-02-23,6.8,1.2
1966-02-23,10.6,4
1967-02-23,17.8,5.2
1968-02-23,10,5
1969-02-23,10.6,5.6
1970-02-23,15.4,3.4
1971-02-23,14.8,2.4
1972-02-23,11.3,6.1
1973-02-23,13.6,1.8
1974-02-23,13,2
1975-02-23,11.6,5
1976-02-23,17,6
1977-02-23,8,3.8
1978-02-23,14,8.2
1979-02-23,11.7,1.6
1980-02-23,12.6,8
1981-02-23,11.2,1.4
1982-02-23,7.4,2.2
1983-02-23,16.6,8
1984-02-23,10.6,4
1985-02-23,10,3.2
1986-02-23,13,9.6
1987-02-23,7.2,-0.8
1988-02-23,14.6,6.6
1989-02-23,10,4.5
1990-02-23,19.2,9
1991-02-23,14.2,2.9
1992-02-23,12.7,1
1993-02-23,8.1,0.2
1994-02-23,11.5,7.3
1995-02-23,12,2
1996-02-23,9.8,-3
1997-02-23,15.5,8
1998-02-23,11.7,2.5
1999-02-23,16.4,5.9
2000-02-23,16.4,4.5
2001-02-23,15,5
2002-02-23,19.1,4.4
2003-02-23,13,6.9
2004-02-23,7.8,1.6
2005-02-23,3.2,-0.2
2006-02-23,5.2,0.6
2007-02-23,11.5,7.3
2008-02-23,15.6,6.6
2009-02-23,17.5,4
2010-02-23,11.4,6.6
2011-02-23,17.7,6
2012-02-23,16.2,0.4
2013-02-23,7.2,0.4
2014-02-23,14,2.8
2015-02-23,13.7,6.6
2016-02-23,15,4.9
2017-02-23,15,9.9
2018-02-23,9.9,-1.3
2019-02-23,18.1,3.7
1950-02-24,13.9,7.9
1951-02-24,11,7.4
1952-02-24,13.5,3.6
1953-02-24,14.6,3.3
1954-02-24,15.5,4.4
1955-02-24,6.7,2.1
1956-02-24,5.3,1.8
1957-02-24,13.3,6.5
1958-02-24,15,5.2
1959-02-24,16,4
1960-02-24,11.8,6.4
1961-02-24,17,6
1962-02-24,10.2,5.4
1963-02-24,6.2,3.8
1964-02-24,10.8,5.8
1965-02-24,4.6,0
1966-02-24,10,3.2
1967-02-24,17,6
1968-02-24,9,2.6
1969-02-24,9.8,3
1970-02-24,16.8,5
1971-02-24,18.4,3.4
1972-02-24,12,7.2
1973-02-24,15.6,7.4
1974-02-24,10,-0.6
