fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1980-04-01,Abril,1,27.6,24.2,1980,2006
2011-04-02,Abril,2,27.6,25.2,2011,1980
1985-04-03,Abril,3,25.4,24.5,1985,2008
1999-04-04,Abril,4,24.8,24.5,1999,2006
1999-04-05,Abril,5,25,24.5,1999,1955
1967-04-06,Abril,6,26.8,26.6,1967,1973
2014-04-07,Abril,7,27.6,26.8,2014,1973
2011-04-08,Abril,8,28.4,28.2,2011,2014
2011-04-09,Abril,9,29,27,2011,1950
1950-04-10,Abril,10,29.2,28.4,1950,2014
2014-04-11,Abril,11,27.4,24.4,2014,2017
2017-04-12,Abril,12,26.7,26.6,2017,1955
2017-04-13,Abril,13,27.3,26.6,2017,2011
1955-04-14,Abril,14,28,27.4,1955,2011
1955-04-15,Abril,15,26.8,26.1,1955,2017
2013-04-16,Abril,16,27.6,26.7,2013,2014
2013-04-17,Abril,17,29,27.8,2013,2014
2013-04-18,Abril,18,28.7,28.5,2013,1970
1987-04-19,Abril,19,25.4,25.4,1987,2014
1961-04-20,Abril,20,26,26,1961,1987
1952-04-21,Abril,21,27.2,26.2,1952,1992
1987-04-22,Abril,22,27.8,27,1987,1992
1977-04-23,Abril,23,27.4,27.2,1977,1966
1977-04-24,Abril,24,28.2,28,1977,1992
1977-04-25,Abril,25,30.6,28.4,1977,1992
2002-04-26,Abril,26,28.8,28.4,2002,1977
1992-04-27,Abril,27,29.4,28.4,1992,2002
2003-04-28,Abril,28,28.6,28,2003,1992
1964-04-29,Abril,29,28,27.6,1964,2005
1964-04-30,Abril,30,28,27.6,1964,2010
