fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1980-04-01,Abril,1,32.6,28.2,1980,1994
1977-04-02,Abril,2,29.8,26.5,1977,1962
1985-04-03,Abril,3,30.6,27.8,1985,1998
1960-04-04,Abril,4,27.5,25.8,1960,1953
2014-04-05,Abril,5,27.8,26.4,2014,1962
2021-04-06,Abril,6,29.7,28.8,2021,1955
1973-04-07,Abril,7,28.2,27,1973,1994
1960-04-08,Abril,8,27.6,27.5,1960,2011
2011-04-09,Abril,9,32.2,27.8,2011,1994
1983-04-10,Abril,10,28.2,27.4,1983,2012
1983-04-11,Abril,11,30.4,26.6,1983,1965
2023-04-12,Abril,12,28.4,27,2023,1988
1970-04-13,Abril,13,28.2,27.4,1970,1988
2019-04-14,Abril,14,29.9,27.4,2019,1961
1975-04-15,Abril,15,29.4,27.8,1975,1966
1952-04-16,Abril,16,27.2,27.2,1952,1975
2005-04-17,Abril,17,27.3,26.8,2005,1970
2005-04-18,Abril,18,28.5,27.2,2005,1978
1970-04-19,Abril,19,29.6,27,1970,1961
1961-04-20,Abril,20,29.6,29.6,1961,2000
1961-04-21,Abril,21,29.6,28.4,1961,1999
1961-04-22,Abril,22,29.5,28.2,1961,1969
2001-04-23,Abril,23,29.8,29.4,2001,1969
1970-04-24,Abril,24,29.6,28.6,1970,1969
2023-04-25,Abril,25,27.7,27.6,2023,1961
2014-04-26,Abril,26,28.4,27.4,2014,2023
1997-04-27,Abril,27,30,29,1997,1965
1961-04-28,Abril,28,28.2,27,1961,1973
2023-04-29,Abril,29,33.8,31,2023,1962
2020-04-30,Abril,30,27.8,27,2020,1958
