fecha,maxima,minima
1980-04-01,32.6,13.2
1977-04-02,29.8,15
1985-04-03,30.6,12.8
1960-04-04,27.5,12.3
2014-04-05,27.8,17.2
1955-04-06,28.8,8.3
1973-04-07,28.2,10
1960-04-08,27.6,14.7
2011-04-09,32.2,13.2
1983-04-10,28.2,9.6
1983-04-11,30.4,13.2
1988-04-12,27,12.4
1970-04-13,28.2,15.2
2019-04-14,29.9,11.7
1975-04-15,29.4,8.7
1952-04-16,27.2,11.2
2005-04-17,27.3,9.8
2005-04-18,28.5,18.2
1970-04-19,29.6,11.6
1961-04-20,29.6,14.6
1961-04-21,29.6,14.3
1961-04-22,29.5,19.6
2001-04-23,29.8,16
1970-04-24,29.6,10.6
1961-04-25,27.6,14.8
2014-04-26,28.4,16.1
1997-04-27,30,16.6
1961-04-28,28.2,9.2
1962-04-29,31,12
1958-04-30,27,10
