fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1997-04-01,Abril,1,20.4,20.2,1997,2011
1985-04-02,Abril,2,22,19.8,1985,1997
1985-04-03,Abril,3,22,21.6,1985,2008
1999-04-04,Abril,4,22,20.8,1999,2008
1999-04-05,Abril,5,23.2,22,1999,2011
1999-04-06,Abril,6,23.4,22,1999,1973
2011-04-07,Abril,7,23.8,22.7,2011,1973
2011-04-08,Abril,8,26.6,22.8,2011,1993
2011-04-09,Abril,9,25.6,23.4,2011,1995
1995-04-10,Abril,10,23.6,22.9,1995,2014
1995-04-11,Abril,11,23.6,22.9,1995,2017
1995-04-12,Abril,12,24,23.8,1995,2017
2017-04-13,Abril,13,23.1,22.6,2017,1995
1997-04-14,Abril,14,22.4,22.4,1997,2011
1997-04-15,Abril,15,23.4,21.4,1997,1970
1970-04-16,Abril,16,24,23.3,1970,2014
2013-04-17,Abril,17,25.6,24.4,2013,1970
2014-04-18,Abril,18,24.4,23.7,2014,2017
1985-04-19,Abril,19,22.8,21.7,1985,2014
1992-04-20,Abril,20,22.6,20.8,1992,1957
1992-04-21,Abril,21,23,21.6,1992,2002
1992-04-22,Abril,22,22.6,21.8,1992,1987
1970-04-23,Abril,23,23.4,22.8,1970,2009
2018-04-24,Abril,24,23.6,23.2,2018,2002
2002-04-25,Abril,25,24.4,24.2,2002,1977
2008-04-26,Abril,26,24.6,24.4,2008,2002
2010-04-27,Abril,27,24.8,23.6,2010,1987
2005-04-28,Abril,28,25.4,25.2,2005,1994
2005-04-29,Abril,29,25.4,25.2,2005,1994
1994-04-30,Abril,30,24.6,23.8,1994,2005
