fecha,maxima,minima
2011-04-01,30,10
2015-04-02,29.3,9.5
2008-04-03,29.4,6
2008-04-04,30.5,7.2
1999-04-05,30.8,10.2
1999-04-06,31.2,12.8
2011-04-07,31.2,12.7
2011-04-08,32.6,10.8
1995-04-09,31.6,9.4
1995-04-10,32.2,11
2017-04-11,30.5,8.2
2017-04-12,31.3,9.1
2011-04-13,30,10.2
2011-04-14,31.2,9.2
2011-04-15,31,11.6
1970-04-16,29.8,9.6
2017-04-17,30.9,11.2
2017-04-18,30.9,11.4
2017-04-19,31.2,12.7
1957-04-20,29.1,8.3
1992-04-21,30,9.6
1978-04-22,29.4,7.8
2009-04-23,29.4,7.6
2002-04-24,31,11
2002-04-25,32,11.3
2006-04-26,31.2,14.2
2010-04-27,31.4,14
2010-04-28,32.5,14.5
1997-04-29,32.4,15
1997-04-30,33.2,14.8
