fecha,maxima,minima
1994-04-01,24.7,11.2
1980-04-02,22,10.2
1998-04-03,23.2,12.8
2018-04-04,23.5,12.6
1999-04-05,22,12.3
2003-04-06,22.9,9
1994-04-07,23.3,7.1
1983-04-08,22.8,10.6
2011-04-09,25.2,12.4
2011-04-10,25.9,14.7
2011-04-11,24.3,14.8
1994-04-12,22.7,8
1999-04-13,24.4,11
1967-04-14,23,12.2
1952-04-15,22.5,10.5
1952-04-16,24,10.5
1979-04-17,24.6,10.6
1959-04-18,24.8,8.8
1959-04-19,24,12
2004-04-20,22.2,12.7
2018-04-21,23,13.1
2009-04-22,23.8,13.5
2001-04-23,25.4,12
2018-04-24,24.8,15.2
2018-04-25,25.5,15.5
2006-04-26,24.7,13.6
2015-04-27,24.7,13
2010-04-28,23.5,13.3
1994-04-29,23.2,12.6
1994-04-30,23,12.6
