fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2015-04-01,Abril,1,32.2,30.6,2015,1980
1980-04-02,Abril,2,31,29.6,1980,2015
2006-04-03,Abril,3,30.7,30.6,2006,2008
2008-04-04,Abril,4,31,30.4,2008,1997
1999-04-05,Abril,5,31.2,30.8,1999,1997
1999-04-06,Abril,6,30.6,29.6,1999,1967
2011-04-07,Abril,7,31.7,30.4,2011,2014
2014-04-08,Abril,8,31.5,31,2014,2011
1995-04-09,Abril,9,32.2,29.2,1995,2012
1995-04-10,Abril,10,31.8,31.8,1995,2014
1960-04-11,Abril,11,32,31.4,1960,2017
2017-04-12,Abril,12,32.4,30.4,2017,1999
2011-04-13,Abril,13,30.5,30.4,2011,1977
2011-04-14,Abril,14,31.3,30.4,2011,1996
1996-04-15,Abril,15,30.8,30.6,1996,1988
2013-04-16,Abril,16,32,30,2013,1970
2013-04-17,Abril,17,33.1,32.3,2013,2014
2017-04-18,Abril,18,34,31.6,2017,2013
2013-04-19,Abril,19,31,30.4,2013,2017
1987-04-20,Abril,20,29.4,28.6,1987,1992
1992-04-21,Abril,21,29.6,29.4,1992,2002
1977-04-22,Abril,22,29,28.5,1977,2017
1966-04-23,Abril,23,31,31,1966,1970
1977-04-24,Abril,24,32.2,31.6,1977,1970
1998-04-25,Abril,25,32.2,32.2,1998,2008
2002-04-26,Abril,26,32.4,31.6,2002,2008
2005-04-27,Abril,27,32,32,2005,2010
2010-04-28,Abril,28,31.7,31.4,2010,1992
1997-04-29,Abril,29,33.6,33.2,1997,2005
1997-04-30,Abril,30,34,33.2,1997,1964
