fecha,maxima,minima
2011-04-01,27.6,12.5
2001-04-02,22.6,10
1985-04-03,26.6,12.4
2006-04-04,26,10.4
1955-04-05,24,11.8
2011-04-06,30,14.5
2011-04-07,25.2,18.2
2017-04-08,26.5,10.5
1983-04-09,23.8,16.4
1956-04-10,22,13.6
1980-04-11,21,6.2
2015-04-12,23,9
2013-04-13,23.9,9.1
2015-04-14,27.8,17.6
1988-04-15,23.8,13.2
1970-04-16,26.5,10.1
2013-04-17,28.5,11.6
2018-04-18,28,15.5
2018-04-19,26.8,19.4
1968-04-20,25.5,13.2
1984-04-21,27,16.4
1984-04-22,27.4,17.6
1984-04-23,27,13.2
2007-04-24,27.7,12.5
1954-04-25,25,12.9
1984-04-26,25.2,14.6
2003-04-27,25.9,11
2010-04-28,30.1,15
1994-04-29,24.6,13.6
2005-04-30,29.4,12.2
