fecha,maxima,minima
2011-04-01,24,8.5
2011-04-02,24.8,9.6
1998-04-03,26,11.4
1999-04-04,24,6.2
1999-04-05,26.8,5.6
1997-04-06,26.2,3.8
2011-04-07,24.8,9.4
2011-04-08,30.2,9.9
2011-04-09,28.2,11.8
2011-04-10,27.6,12.6
2011-04-11,26,9.8
2015-04-12,24.8,3.7
2015-04-13,26,3.7
2015-04-14,27.6,4.1
2014-04-15,25.9,8.5
2016-04-16,26.6,8.6
2013-04-17,26.7,9.9
2007-04-18,26.6,9.2
2007-04-19,24.8,10.5
1999-04-20,25.2,8.8
2007-04-21,25.7,8.2
2007-04-22,25.9,6.9
2007-04-23,27.4,7.7
2007-04-24,28.4,7.9
2018-04-25,27.3,9.7
2010-04-26,27.8,11.1
2010-04-27,25.7,10.5
2010-04-28,26.4,8.7
2005-04-29,29.1,7.2
2005-04-30,27.8,6.3
