fecha,maxima,minima
2015-04-01,28,9.7
1980-04-02,28.2,8.8
1980-04-03,26.6,11.4
2006-04-04,27.6,10
1997-04-05,27.8,8.6
1967-04-06,28,7.2
2005-04-07,28,8
2011-04-08,30.5,9.1
2011-04-09,29,8
1983-04-10,29,7.2
2014-04-11,29,15.4
2017-04-12,28,6.6
2017-04-13,27.8,7.4
2011-04-14,28.8,7.4
2011-04-15,27.8,9.9
2013-04-16,28.4,9.5
2013-04-17,29.2,9.6
2017-04-18,29.7,9.8
2013-04-19,28,10
1961-04-20,27.6,9.2
1952-04-21,28.2,9.8
1987-04-22,28,12.8
1977-04-23,27.8,6.8
1977-04-24,28.8,8.2
1977-04-25,30,10.4
1987-04-26,30.8,9.2
1987-04-27,30.2,13.4
2003-04-28,28.6,9.6
1997-04-29,29.2,11.2
1997-04-30,29.6,12.2
