fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1980-04-01,Abril,1,24.8,24.2,1980,2011
1995-04-02,Abril,2,24.4,24,1995,1985
1985-04-03,Abril,3,26.8,25,1985,2008
1999-04-04,Abril,4,23.6,22.8,1999,1972
1999-04-05,Abril,5,25.7,24.3,1999,1955
1973-04-06,Abril,6,27.6,26.2,1973,1999
2014-04-07,Abril,7,25.6,25.4,2014,2011
2011-04-08,Abril,8,27.8,26.2,2011,1993
2011-04-09,Abril,9,29.3,25.3,2011,2023
2023-04-10,Abril,10,26.4,25.4,2023,2014
2014-04-11,Abril,11,25.3,24,2014,2023
1955-04-12,Abril,12,24.2,24,1955,1995
1995-04-13,Abril,13,26,25.6,1995,2017
1955-04-14,Abril,14,27.5,25.9,1955,2017
2014-04-15,Abril,15,26.1,25.4,2014,1955
2014-04-16,Abril,16,27.5,25.8,2014,2022
1970-04-17,Abril,17,27.8,27,1970,2013
2014-04-18,Abril,18,26.6,26.2,2014,1970
1957-04-19,Abril,19,24.5,24.2,1957,2007
2023-04-20,Abril,20,27.1,25.2,2023,1992
1992-04-21,Abril,21,26,25.9,1992,2023
1992-04-22,Abril,22,26.4,24.8,1992,1966
1992-04-23,Abril,23,26.4,25.8,1992,2002
1992-04-24,Abril,24,27.4,26.1,1992,1957
2002-04-25,Abril,25,28.2,27.4,2002,1977
1992-04-26,Abril,26,28.2,27.8,1992,2023
2023-04-27,Abril,27,29.4,27.6,2023,1992
2005-04-28,Abril,28,29.2,29,2005,2023
2005-04-29,Abril,29,29.8,29.3,2005,2023
2005-04-30,Abril,30,29,26.8,2005,1994
