fecha,maxima,minima
1980-04-01,24.8,14.2
1995-04-02,24.4,8
1985-04-03,26.8,12.6
1999-04-04,23.6,9.9
1999-04-05,25.7,11.6
1973-04-06,27.6,10.6
2014-04-07,25.6,11.4
2011-04-08,27.8,15.2
2011-04-09,29.3,13.7
2014-04-10,25.4,11.9
2014-04-11,25.3,13
1955-04-12,24.2,4.9
1995-04-13,26,9.2
1955-04-14,27.5,9.9
2014-04-15,26.1,12.9
2014-04-16,27.5,12.1
1970-04-17,27.8,12.4
2014-04-18,26.6,9.6
1957-04-19,24.5,5.6
1992-04-20,25.2,9
1992-04-21,26,10
1992-04-22,26.4,9.2
1992-04-23,26.4,10.6
1992-04-24,27.4,13
2002-04-25,28.2,12.2
1992-04-26,28.2,13.2
1992-04-27,27.6,13.4
2005-04-28,29.2,10.2
2005-04-29,29.8,14.5
2005-04-30,29,12.4
