fecha,maxima,minima
2011-04-01,25.2,6.8
1985-04-02,25.4,8.2
1953-04-03,26.6,8
1999-04-04,26.2,7.6
1973-04-05,27.8,6.8
1973-04-06,29.4,8.8
2011-04-07,26.9,7.8
2011-04-08,30.6,8.4
2011-04-09,30.7,11.2
2017-04-10,27,5.2
1997-04-11,24.8,3.8
1959-04-12,25.2,3.6
2017-04-13,27.6,7.6
1955-04-14,29.2,9
1970-04-15,26.8,5.8
2014-04-16,28.5,8.4
1970-04-17,30,7.8
1970-04-18,28,13.4
1952-04-19,26.8,9.8
1992-04-20,25.4,6
1998-04-21,25.6,2.6
1977-04-22,27.2,8.6
1970-04-23,27.4,6.6
1992-04-24,28.2,5.8
1998-04-25,28.2,7
2008-04-26,29.5,10
2010-04-27,29.5,11.1
1994-04-28,30.2,11.8
1994-04-29,30.6,6
2005-04-30,29.8,12.2
