fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1980-04-01,Abril,1,25.8,24.5,1980,2011
1980-04-02,Abril,2,24.4,23.6,1980,1997
2008-04-03,Abril,3,25.9,24.4,2008,1985
2006-04-04,Abril,4,25.7,25.6,2006,1999
1999-04-05,Abril,5,26.5,25.0,1999,2011
1999-04-06,Abril,6,27.3,26.6,1999,1973
2011-04-07,Abril,7,26.5,26.0,2011,1973
2011-04-08,Abril,8,27.9,26.0,2011,2023
2011-04-09,Abril,9,28.2,27.5,2011,1995
2014-04-10,Abril,10,27.4,27.2,2014,1950
2017-04-11,Abril,11,27.7,26.0,2017,1995
2017-04-12,Abril,12,28.2,26.2,2017,1995
2017-04-13,Abril,13,27.4,26.4,2017,2011
2011-04-14,Abril,14,26.7,25.6,2011,1955
2017-04-15,Abril,15,27.0,25.7,2017,2014
2014-04-16,Abril,16,26.5,26.4,2014,2022
2013-04-17,Abril,17,28.0,28.0,2013,2014
2014-04-18,Abril,18,28.0,27.6,2014,2013
1992-04-19,Abril,19,24.6,24.5,1992,1985
2023-04-20,Abril,20,27.0,26.0,2023,1992
1992-04-21,Abril,21,27.0,25.7,1992,1952
1992-04-22,Abril,22,26.8,25.4,1992,1984
1970-04-23,Abril,23,27.0,26.0,1970,1992
2017-04-24,Abril,24,27.0,26.6,2017,2002
2002-04-25,Abril,25,28.5,28.5,2002,2018
2023-04-26,Abril,26,28.9,27.6,2023,2002
2023-04-27,Abril,27,30.7,29.0,2023,2010
2023-04-28,Abril,28,30.9,28.4,2023,2010
2005-04-29,Abril,29,29.6,27.7,2005,1994
1994-04-30,Abril,30,28.2,28.0,1994,2005
