fecha,maxima,minima
1980-04-01,25.8,10.6
1980-04-02,24.4,12
2008-04-03,25.9,10.7
2006-04-04,25.7,12.6
1999-04-05,26.5,14.6
1999-04-06,27.3,13.9
2011-04-07,26.5,13
2011-04-08,27.9,13.6
2011-04-09,28.2,12.5
2014-04-10,27.4,14.6
2017-04-11,27.7,12.3
2017-04-12,28.2,12
2017-04-13,27.4,12
2011-04-14,26.7,11.5
2017-04-15,27,13.5
2014-04-16,26.5,12.2
2013-04-17,28,13.5
2014-04-18,28,12.5
1992-04-19,24.6,9.2
1992-04-20,26,11.7
1992-04-21,27,11.6
1992-04-22,26.8,12.5
1970-04-23,27,11.4
2017-04-24,27,12.6
2002-04-25,28.5,12
2002-04-26,27.6,13.8
2010-04-27,29,14
2010-04-28,28.4,15.4
2005-04-29,29.6,15
1994-04-30,28.2,15.2
