fecha,maxima,minima
2011-04-01,26,4
1995-04-02,23.5,2
1972-04-03,23.8,4.6
1999-04-04,23.6,4.5
2011-04-05,26.3,3.6
2011-04-06,26.8,11.2
2011-04-07,27.9,6.6
2011-04-08,30,6
2017-04-09,26,3.6
2014-04-10,26.8,6.4
1995-04-11,26.8,6
1995-04-12,26.5,5
1955-04-13,26.7,5
1955-04-14,25.8,7.2
1970-04-15,24.8,3
1970-04-16,27.4,5.2
1970-04-17,27,5
1970-04-18,27,7.5
2017-04-19,25.3,5.8
1984-04-20,25.4,5.6
1992-04-21,25.5,5.8
2007-04-22,25.5,5
2007-04-23,26.8,6.2
2007-04-24,26.6,8
1977-04-25,27.4,6
2010-04-26,26.8,8.7
2010-04-27,27.2,8.8
2010-04-28,28.6,8.6
2005-04-29,29.6,7.2
1994-04-30,27.8,10.5
