fecha,maxima,minima
1976-04-01,22.6,2.4
1995-04-02,22.2,2.8
1972-04-03,23,4.6
1999-04-04,22.6,6.4
1973-04-05,25.6,4
2011-04-06,25.1,7.8
2011-04-07,26.2,6.6
2011-04-08,27.6,6.7
2011-04-09,27.1,8.3
1995-04-10,25.2,4.8
1950-04-11,23.6,5.2
2017-04-12,25.3,3.2
1955-04-13,24.4,3
1955-04-14,26.6,4.6
1970-04-15,25,4
1970-04-16,25.4,3.6
1970-04-17,26.6,5.6
2014-04-18,24.6,4.5
2014-04-19,23.8,8.4
1984-04-20,25,5.6
1992-04-21,24,5
1970-04-22,24.6,1.4
2009-04-23,24.2,1.6
1984-04-24,25.2,10.8
1977-04-25,26.6,5.6
2002-04-26,24.8,7.4
2010-04-27,25.6,8.2
2010-04-28,26.2,7.4
1994-04-29,27,6.4
2005-04-30,25.8,10.4
