fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2011-04-01,Abril,1,26.8,26.5,2011,1980
1997-04-02,Abril,2,25.6,25.4,1997,1980
2008-04-03,Abril,3,27,26.2,2008,1985
2006-04-04,Abril,4,27.4,27.3,2006,1999
1999-04-05,Abril,5,28.5,27,1999,2011
1999-04-06,Abril,6,30.2,27,1999,2008
2011-04-07,Abril,7,28.4,27.8,2011,1995
2011-04-08,Abril,8,30,27.7,2011,2014
1995-04-09,Abril,9,30.4,29.1,1995,2011
1995-04-10,Abril,10,29.6,29.6,1995,2014
1995-04-11,Abril,11,28.8,28.3,1995,2017
2017-04-12,Abril,12,29.3,29.2,2017,1995
2017-04-13,Abril,13,28.4,27.9,2017,1995
2011-04-14,Abril,14,28.4,27.3,2011,2013
1997-04-15,Abril,15,27.7,27.6,1997,2014
1997-04-16,Abril,16,28.7,28.1,1997,2014
2014-04-17,Abril,17,29.4,29.3,2014,1970
2017-04-18,Abril,18,30,29.5,2017,2014
1985-04-19,Abril,19,26.8,26.2,1985,1968
1992-04-20,Abril,20,28,25.8,1992,1984
1992-04-21,Abril,21,28.5,26.8,1992,2002
1992-04-22,Abril,22,28,26.4,1992,1987
1987-04-23,Abril,23,28.4,27.9,1987,2017
1992-04-24,Abril,24,28.5,28.3,1992,2017
2002-04-25,Abril,25,30.2,30,2002,1977
2002-04-26,Abril,26,29.2,29,2002,1992
1987-04-27,Abril,27,30.2,29.6,1987,1992
2005-04-28,Abril,28,30.6,29.9,2005,2010
2005-04-29,Abril,29,31.6,29.8,2005,1994
2005-04-30,Abril,30,30.6,30.1,2005,1994
