fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2003-08-01,Agosto,1,41.2,40.8,2003,1989
2003-08-02,Agosto,2,41.2,41.0,2003,1989
2003-08-03,Agosto,3,41.6,40.5,2003,2018
2007-08-04,Agosto,4,40.4,40.4,2007,2024
2017-08-05,Agosto,5,40.4,40.0,2017,1965
1965-08-06,Agosto,6,41.2,40.5,1965,2005
2005-08-07,Agosto,7,41.7,40.0,2005,1973
2023-08-08,Agosto,8,41.5,40.1,2023,2024
2023-08-09,Agosto,9,42.3,41.2,2023,2012
2012-08-10,Agosto,10,42.5,39.8,2012,2024
2023-08-11,Agosto,11,40.7,40.1,2023,2012
1966-08-12,Agosto,12,41.0,40.4,1966,1987
2021-08-13,Agosto,13,42.6,40.4,2021,1966
2021-08-14,Agosto,14,42.5,40.2,2021,1966
2021-08-15,Agosto,15,41.4,39.4,2021,1966
1974-08-16,Agosto,16,39.4,39.2,1974,1991
2012-08-17,Agosto,17,40.0,39.0,2012,1991
1992-08-18,Agosto,18,39.2,38.7,1992,2012
1994-08-19,Agosto,19,39.0,38.7,1994,2009
1993-08-20,Agosto,20,42.0,40.0,1993,2011
2023-08-21,Agosto,21,40.8,39.8,2023,1980
2023-08-22,Agosto,22,40.4,39.3,2023,2012
2023-08-23,Agosto,23,39.7,39.4,2023,1999
1999-08-24,Agosto,24,41.4,40.4,1999,2001
1992-08-25,Agosto,25,39.8,39.6,1992,2023
2010-08-26,Agosto,26,39.6,37.8,2010,2007
2007-08-27,Agosto,27,39.3,38.4,2007,1962
1962-08-28,Agosto,28,39.0,39.0,1962,2007
1962-08-29,Agosto,29,39.4,37.0,1962,1960
1962-08-30,Agosto,30,40.0,39.0,1962,1965
1964-08-31,Agosto,31,38.2,37.4,1964,1962
