fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2003-08-01,Agosto,1,38.6,38,2003,1957
2018-08-02,Agosto,2,38.5,37.2,2018,1957
2018-08-03,Agosto,3,39.9,38.2,2018,2003
2018-08-04,Agosto,4,38.6,38,2018,2008
2017-08-05,Agosto,5,39.2,38.2,2017,1991
1991-08-06,Agosto,6,39,37.9,1991,1992
2020-08-07,Agosto,7,38.2,38,2020,2005
2005-08-08,Agosto,8,36.2,35.4,2005,2016
2012-08-09,Agosto,9,38.2,37.6,2012,2020
2012-08-10,Agosto,10,40.6,36.8,2012,2015
2012-08-11,Agosto,11,38.5,37.5,2012,2013
1987-08-12,Agosto,12,39,36.8,1987,1966
1987-08-13,Agosto,13,36.5,36.3,1987,1991
1991-08-14,Agosto,14,37,36.7,1991,2003
1991-08-15,Agosto,15,38.3,36.8,1991,2005
1991-08-16,Agosto,16,39.4,36.7,1991,2009
1991-08-17,Agosto,17,38.5,37.7,1991,2012
2012-08-18,Agosto,18,37.4,36.7,2012,2009
1993-08-19,Agosto,19,37.8,36.6,1993,2009
1993-08-20,Agosto,20,40,38.3,1993,2011
2012-08-21,Agosto,21,37.2,36.3,2012,2009
2012-08-22,Agosto,22,37.5,37,2012,1980
2009-08-23,Agosto,23,37.5,36,2009,1999
1999-08-24,Agosto,24,37.2,36.2,1999,2001
1992-08-25,Agosto,25,37.5,35.6,1992,2020
2010-08-26,Agosto,26,36.4,36,2010,2020
2020-08-27,Agosto,27,36.4,35.5,2020,2016
2009-08-28,Agosto,28,36.8,35.4,2009,2016
2015-08-29,Agosto,29,34.8,34.6,2015,1962
2009-08-30,Agosto,30,35.8,35,2009,1980
2009-08-31,Agosto,31,35.6,33.6,2009,2014
