fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1989-08-01,Agosto,1,36.6,34.6,1989,1997
1964-08-02,Agosto,2,36.5,36,1964,1987
1964-08-03,Agosto,3,38,37.7,1964,2018
2018-08-04,Agosto,4,36.6,36,2018,1964
2006-08-05,Agosto,5,35,34.8,2006,1998
2005-08-06,Agosto,6,37,35.5,2005,2003
2016-08-07,Agosto,7,38.1,35,2016,2003
2003-08-08,Agosto,8,36.6,35.4,2003,2016
1982-08-09,Agosto,9,35,33.2,1982,2006
1964-08-10,Agosto,10,36.5,34.2,1964,2006
1982-08-11,Agosto,11,35,35,1982,2006
2003-08-12,Agosto,12,38.2,36.8,2003,1987
2005-08-13,Agosto,13,33.8,33.5,2005,2002
2005-08-14,Agosto,14,34.6,32.5,2005,2018
1995-08-15,Agosto,15,33.7,33,1995,2005
1991-08-16,Agosto,16,33.4,32.5,1991,1966
1991-08-17,Agosto,17,34.4,32,1991,1969
1990-08-18,Agosto,18,35,33,1990,1969
1990-08-19,Agosto,19,35.4,34.7,1990,2018
2018-08-20,Agosto,20,36.8,36,2018,1980
2018-08-21,Agosto,21,33.7,33.4,2018,2017
1998-08-22,Agosto,22,34.2,33.4,1998,1990
2021-08-23,Agosto,23,34,33,2021,1995
2021-08-24,Agosto,24,33.7,31,2021,1964
1978-08-25,Agosto,25,34,33,1978,1975
1988-08-26,Agosto,26,32.6,32,1988,1965
1965-08-27,Agosto,27,35.5,32.4,1965,1995
1965-08-28,Agosto,28,32,32,1965,1969
1987-08-29,Agosto,29,34.4,32.5,1987,1995
2010-08-30,Agosto,30,34.7,34,2010,1964
2010-08-31,Agosto,31,34.9,34,2010,1970
