fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2009-08-01,Agosto,1,39.2,38.2,2009,1988
1956-08-02,Agosto,2,38.4,35.0,1956,1962
1956-08-03,Agosto,3,37.2,35.0,1956,1962
2012-08-04,Agosto,4,33.3,32.2,2012,2016
1980-08-05,Agosto,5,38.0,37.4,1980,1990
1974-08-06,Agosto,6,37.8,37.6,1974,1990
1980-08-07,Agosto,7,39.0,36.6,1980,1976
1976-08-08,Agosto,8,38.2,36.6,1976,1994
1976-08-09,Agosto,9,38.8,35.1,1976,2017
1976-08-10,Agosto,10,39.0,36.9,1976,2012
2023-08-11,Agosto,11,40.9,37.4,2023,1976
2023-08-12,Agosto,12,40.2,39.1,2023,2010
2023-08-13,Agosto,13,40.0,38.2,2023,1976
2013-08-14,Agosto,14,38.9,37.8,2013,1958
1958-08-15,Agosto,15,40.4,40.0,1958,2021
2013-08-16,Agosto,16,38.1,37.4,2013,2021
1966-08-17,Agosto,17,39.2,38.5,1966,1961
1961-08-18,Agosto,18,37.4,36.4,1961,1968
1966-08-19,Agosto,19,41.2,37.6,1966,1959
1966-08-20,Agosto,20,37.2,36.2,1966,1954
2022-08-21,Agosto,21,37.2,36.5,2022,2012
2020-08-22,Agosto,22,36.3,36.2,2020,2022
1962-08-23,Agosto,23,35.5,35.3,1962,2012
1961-08-24,Agosto,24,37.1,36.4,1961,2019
1961-08-25,Agosto,25,36.5,35.0,1961,1986
2010-08-26,Agosto,26,37.9,36.9,2010,2020
2020-08-27,Agosto,27,39.6,38.4,2020,1990
2010-08-28,Agosto,28,36.3,36.1,2010,2020
1985-08-29,Agosto,29,36.4,36.2,1985,2016
2010-08-30,Agosto,30,36.6,34.4,2010,2016
1962-08-31,Agosto,31,35.4,34.2,1962,2010
