fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1979-12-01,Diciembre,1,20.4,19.4,1979,2015
1979-12-02,Diciembre,2,21.2,19.6,1979,1985
2018-12-03,Diciembre,3,22.6,21,2018,1985
2018-12-04,Diciembre,4,23.6,21,2018,2015
2018-12-05,Diciembre,5,23.4,20.2,2018,2015
2018-12-06,Diciembre,6,22.2,19.5,2018,2010
2000-12-07,Diciembre,7,21,20,2000,2010
2010-12-08,Diciembre,8,20,18.8,2010,2018
2010-12-09,Diciembre,9,24.8,20.6,2010,2018
1978-12-10,Diciembre,10,23,22.2,1978,2018
1976-12-11,Diciembre,11,19,19,1976,2010
2021-12-12,Diciembre,12,19.7,19.3,2021,2022
1998-12-13,Diciembre,13,20.4,20,1998,1976
1961-12-14,Diciembre,14,21.4,20,1961,1998
1998-12-15,Diciembre,15,20.2,19.8,1998,1989
2015-12-16,Diciembre,16,22,21.2,2015,1989
1998-12-17,Diciembre,17,21.5,19.4,1998,2015
1998-12-18,Diciembre,18,18.6,18.6,1998,2015
2015-12-19,Diciembre,19,21.4,19.2,2015,2014
2022-12-20,Diciembre,20,19.3,18.8,2022,2014
1989-12-21,Diciembre,21,20.6,19,1989,2021
2012-12-22,Diciembre,22,19.8,19.2,2012,1995
2022-12-23,Diciembre,23,20.8,20.5,2022,2012
2012-12-24,Diciembre,24,21.8,21.1,2012,2022
1977-12-25,Diciembre,25,20.4,19.7,1977,2022
2019-12-26,Diciembre,26,20.4,20,2019,1977
2019-12-27,Diciembre,27,20.6,20.1,2019,2022
1974-12-28,Diciembre,28,20.6,19.8,1974,2019
2021-12-29,Diciembre,29,20.8,20.6,2021,2009
2021-12-30,Diciembre,30,23.4,18.4,2021,1959
2021-12-31,Diciembre,31,21.1,19,2021,1959
