fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1996-12-01,Diciembre,1,20.2,18,1996,1976
1996-12-02,Diciembre,2,18.4,17.2,1996,1997
2007-12-03,Diciembre,3,17,16.8,2007,1994
2006-12-04,Diciembre,4,20,19.5,2006,2007
2006-12-05,Diciembre,5,18.8,18.6,2006,1965
1965-12-06,Diciembre,6,17.4,17.4,1965,2007
2008-12-07,Diciembre,7,17,17,2008,2011
2010-12-08,Diciembre,8,19.4,17.4,2010,2009
1978-12-09,Diciembre,9,20.2,18.4,1978,2007
1961-12-10,Diciembre,10,19.2,18,1961,1982
1970-12-11,Diciembre,11,17.6,17.6,1970,1979
1981-12-12,Diciembre,12,19.2,17.2,1981,1999
1981-12-13,Diciembre,13,19.8,18.2,1981,2019
2022-12-14,Diciembre,14,19,17.6,2022,1989
2019-12-15,Diciembre,15,16.5,16.4,2019,1987
1989-12-16,Diciembre,16,18.5,17.4,1989,1981
2019-12-17,Diciembre,17,18.4,18,2019,1989
1989-12-18,Diciembre,18,17,16.4,1989,2004
2004-12-19,Diciembre,19,16.8,16.2,2004,1969
1969-12-20,Diciembre,20,18,16,1969,2019
2011-12-21,Diciembre,21,19,17.2,2011,2012
2011-12-22,Diciembre,22,17.6,17.1,2011,1989
2022-12-23,Diciembre,23,19.2,17.2,2022,1995
1968-12-24,Diciembre,24,17,16.8,1968,2022
2002-12-25,Diciembre,25,18.5,17.2,2002,1995
1999-12-26,Diciembre,26,20.4,18.8,1999,1995
1999-12-27,Diciembre,27,20.6,17.5,1999,2021
2021-12-28,Diciembre,28,18.8,15.1,2021,2015
2021-12-29,Diciembre,29,20.3,16.6,2021,1978
2009-12-30,Diciembre,30,18.8,18.8,2009,2017
1961-12-31,Diciembre,31,17.8,17.6,1961,2009
