fecha,maxima,minima
1979-12-01,20.4,4
1996-12-02,21.2,11.5
1961-12-03,19.4,11.2
2006-12-04,22.5,9.5
2006-12-05,21.8,9.6
1965-12-06,20,11.4
2011-12-07,18.7,5.1
2015-12-08,19.8,10.7
2007-12-09,20.3,14.7
1961-12-10,20.9,17
1994-12-11,21.4,6.5
1981-12-12,21.8,17
1961-12-13,22.6,6.6
1981-12-14,20.2,15.4
1981-12-15,20,14
2015-12-16,21.9,7
1987-12-17,21.4,10.6
1987-12-18,21,10.4
1969-12-19,19,12
1993-12-20,19.8,6.6
1993-12-21,19.5,6.5
2011-12-22,20.2,6.4
1952-12-23,20.2,9.8
1995-12-24,21.5,9.4
1995-12-25,20.6,13.2
2002-12-26,21.8,9.2
1999-12-27,21.8,14.2
1978-12-28,19,9.6
2015-12-29,19.8,5.8
2017-12-30,21.4,8.6
1994-12-31,20.4,15.4
