fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1983-12-01,Diciembre,1,21.0,20.0,1983,1979
1985-12-02,Diciembre,2,23.4,20.4,1985,1979
1979-12-03,Diciembre,3,18.6,18.4,1979,1983
2016-12-04,Diciembre,4,18.2,17.6,2016,1983
2016-12-05,Diciembre,5,19.6,18.5,2016,1955
1955-12-06,Diciembre,6,18.6,18.3,1955,2016
1989-12-07,Diciembre,7,16.6,16.4,1989,1955
2016-12-08,Diciembre,8,16.6,16.0,2016,1984
2016-12-09,Diciembre,9,16.6,16.3,2016,2015
2010-12-10,Diciembre,10,17.6,16.2,2010,1994
2010-12-11,Diciembre,11,18.2,18.0,2010,1971
1971-12-12,Diciembre,12,19.8,19.8,1971,1994
1994-12-13,Diciembre,13,19.0,17.5,1994,1998
1998-12-14,Diciembre,14,17.6,16.9,1998,2021
1961-12-15,Diciembre,15,18.5,18.2,1961,2021
2015-12-16,Diciembre,16,19.7,19.0,2015,1961
1987-12-17,Diciembre,17,16.6,16.6,1987,2015
1953-12-18,Diciembre,18,16.4,16.0,1953,2015
1987-12-19,Diciembre,19,19.4,18.5,1987,2015
1987-12-20,Diciembre,20,18.0,17.5,1987,1972
1971-12-21,Diciembre,21,17.5,17.3,1971,2008
2002-12-22,Diciembre,22,16.3,15.6,2002,1953
1977-12-23,Diciembre,23,18.4,15.8,1977,1991
1983-12-24,Diciembre,24,19.4,17.2,1983,1977
1977-12-25,Diciembre,25,18.6,17.7,1977,2019
1983-12-26,Diciembre,26,16.2,16.0,1983,1977
1983-12-27,Diciembre,27,17.6,16.8,1983,2015
2019-12-28,Diciembre,28,18.3,17.6,2019,1983
2019-12-29,Diciembre,29,20.1,18.2,2019,1983
2019-12-30,Diciembre,30,15.6,15.5,2019,2021
2021-12-31,Diciembre,31,19.6,16.6,2021,2018
