fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1983-12-01,Diciembre,1,18.4,17.6,1983,1979
1979-12-02,Diciembre,2,19.8,18.2,1979,1983
1979-12-03,Diciembre,3,18.0,17.4,1979,1983
1967-12-04,Diciembre,4,15.6,15.6,1967,1979
2018-12-05,Diciembre,5,18.7,18.6,2018,1967
2001-12-06,Diciembre,6,15.6,15.5,2001,2010
1983-12-07,Diciembre,7,15.4,15.0,1983,1956
1955-12-08,Diciembre,8,15.6,13.7,1955,1956
2018-12-09,Diciembre,9,16.3,13.9,2018,1956
2010-12-10,Diciembre,10,16.3,15.9,2010,2018
2010-12-11,Diciembre,11,18.4,16.6,2010,2009
1994-12-12,Diciembre,12,18.4,18.0,1994,1961
1994-12-13,Diciembre,13,17.4,15.9,1994,2021
2021-12-14,Diciembre,14,20.5,17.6,2021,1994
2021-12-15,Diciembre,15,19.1,17.6,2021,1998
1961-12-16,Diciembre,16,17.7,17.0,1961,1985
1998-12-17,Diciembre,17,15.4,15.2,1998,1985
2023-12-18,Diciembre,18,17.9,15.4,2023,2014
2015-12-19,Diciembre,19,15.8,15.6,2015,1972
1966-12-20,Diciembre,20,15.0,15.0,1966,2015
2008-12-21,Diciembre,21,19.8,16.0,2008,1971
2008-12-22,Diciembre,22,19.2,14.8,2008,2020
2008-12-23,Diciembre,23,16.8,16.6,2008,1991
2018-12-24,Diciembre,24,15.8,14.5,2018,2022
2019-12-25,Diciembre,25,19.0,16.6,2019,2008
2016-12-26,Diciembre,26,18.0,16.4,2016,1977
2019-12-27,Diciembre,27,17.8,15.4,2019,1983
2019-12-28,Diciembre,28,20.0,17.0,2019,1983
2019-12-29,Diciembre,29,19.2,17.2,2019,2016
2021-12-30,Diciembre,30,19.5,18.1,2021,2018
2021-12-31,Diciembre,31,20.4,19.4,2021,2018
