fecha,maxima,minima
1983-12-01,18.4,4
1979-12-02,19.8,1.2
1979-12-03,18,1.4
1967-12-04,15.6,-2.6
2018-12-05,18.7,-0.7
2001-12-06,15.6,-2
1983-12-07,15.4,-0.6
1955-12-08,15.6,-3.6
2018-12-09,16.3,2.2
2010-12-10,16.3,2.2
2010-12-11,18.4,0.1
1994-12-12,18.4,0.4
1994-12-13,17.4,1.6
1994-12-14,17.6,0.4
1998-12-15,17.6,-2.8
1961-12-16,17.7,-2.3
1998-12-17,15.4,-4
2014-12-18,15.4,-0.2
2015-12-19,15.8,-0.5
1966-12-20,15,-3.4
2008-12-21,19.8,-1
2008-12-22,19.2,-4.2
2008-12-23,16.8,-6
2018-12-24,15.8,-2
2019-12-25,19,-0.2
2016-12-26,18,-1.5
2019-12-27,17.8,-3
2019-12-28,20,-3.2
2019-12-29,19.2,-2.8
2018-12-30,18.1,-3.8
2018-12-31,19.4,-3.3
