fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1996-12-01,Diciembre,1,18.4,17.6,1996,1979
1979-12-02,Diciembre,2,18.2,18.0,1979,1985
1953-12-03,Diciembre,3,20.0,19.0,1953,1985
1985-12-04,Diciembre,4,22.2,18.2,1985,2024
2015-12-05,Diciembre,5,20.9,18.0,2015,2018
2010-12-06,Diciembre,6,19.4,19.3,2010,2024
2000-12-07,Diciembre,7,19.8,18.0,2000,2024
1978-12-08,Diciembre,8,17.3,16.9,1978,2010
1978-12-09,Diciembre,9,17.4,17.1,1978,2018
1978-12-10,Diciembre,10,19.4,16.7,1978,1994
2021-12-11,Diciembre,11,19.2,17.5,2021,2020
1994-12-12,Diciembre,12,17.8,17.1,1994,2022
1994-12-13,Diciembre,13,18.6,18.2,1994,1981
2022-12-14,Diciembre,14,19.0,17.4,2022,1981
2015-12-15,Diciembre,15,19.2,18.2,2015,1987
2019-12-16,Diciembre,16,18.7,18.4,2019,1987
2002-12-17,Diciembre,17,18.7,18.2,2002,1989
2015-12-18,Diciembre,18,18.9,17.8,2015,2004
2015-12-19,Diciembre,19,18.5,17.8,2015,1987
2019-12-20,Diciembre,20,16.3,16.2,2019,1987
2019-12-21,Diciembre,21,19.1,17.8,2019,2011
2011-12-22,Diciembre,22,17.4,17.1,2011,1995
1991-12-23,Diciembre,23,16.1,15.9,1991,1995
1995-12-24,Diciembre,24,18.9,16.2,1995,2009
2022-12-25,Diciembre,25,19.6,17.6,2022,2019
2022-12-26,Diciembre,26,18.5,16.6,2022,2002
2021-12-27,Diciembre,27,16.8,16.8,2021,2022
2017-12-28,Diciembre,28,17.2,16.0,2017,2009
2017-12-29,Diciembre,29,17.2,16.5,2017,2009
2022-12-30,Diciembre,30,17.2,16.6,2022,2017
1994-12-31,Diciembre,31,17.3,16.6,1994,2022
