fecha,maxima,minima
1967-01-01,17.6,-3.6
2015-01-02,16.8,-3.9
2015-01-03,17,-2.8
2015-01-04,19.9,-0.8
1983-01-05,18.4,-5
1999-01-06,17.1,1.8
1976-01-07,17.8,-3
2014-01-08,17.6,-0.5
2014-01-09,17.5,0.6
2015-01-10,20.3,-2.4
1976-01-11,17.4,-4.6
1976-01-12,18.8,-1.6
2007-01-13,18.8,-0.8
2019-01-14,17.9,0.7
1968-01-15,18,-5
1976-01-16,17.2,-4
1983-01-17,16.4,-3.4
2008-01-18,16.9,6
2007-01-19,22.6,0.4
2007-01-20,19.9,2.7
2005-01-21,18,-1.5
2018-01-22,18.2,2.9
2018-01-23,18.9,-0.7
2016-01-24,19.9,3.4
2016-01-25,19.2,4
1983-01-26,18.6,-1.6
1967-01-27,18.6,-2
2002-01-28,20.6,-0.8
2002-01-29,21.2,-0.6
2002-01-30,18,0.7
2000-01-31,19,-0.2
