fecha,maxima,minima
2007-01-01,21.2,1.3
2007-01-02,22,5.7
2007-01-03,23,1.2
2007-01-04,21.1,1.4
2012-01-05,22,1
2017-01-06,19.7,2.7
2012-01-07,23.1,2.8
2014-01-08,22.5,6.2
2012-01-09,20.6,1.2
2007-01-10,21,3.2
2012-01-11,21.4,4.2
1997-01-12,21,9.2
2012-01-13,20.2,4.4
2007-01-14,20.3,1.5
2007-01-15,21.1,5.8
1968-01-16,21.6,0.8
1968-01-17,22,2
2007-01-18,24.6,0.6
2007-01-19,25.3,2.4
2007-01-20,24.9,0.3
1981-01-21,23.6,4
2008-01-22,21.8,7.3
2016-01-23,22.4,8
1959-01-24,22,6
1959-01-25,24.4,11.6
1983-01-26,21.6,3.6
2002-01-27,20.2,7.3
2002-01-28,20.9,4
1994-01-29,22.7,-0.1
2013-01-30,21.3,3
2000-01-31,22.4,4.9
