fecha,maxima,minima
1975-01-01,16,1.5
1975-01-02,13.6,-1
1950-01-03,14.6,-1.1
1960-01-04,16.6,1.4
1960-01-05,17.2,5.3
1960-01-06,18.5,3.8
1976-01-07,17.4,1
2017-01-08,14,-2.6
1976-01-09,13.5,0
2004-01-10,13,7.4
2017-01-11,15.6,2.8
1976-01-12,15,1
2004-01-13,13.8,7
1976-01-14,16,-1
1976-01-15,16,-1
1976-01-16,14,0.8
1983-01-17,15,-2.2
2018-01-18,13.1,-2.7
1968-01-19,15.4,-2.5
1968-01-20,16.2,-0.4
2012-01-21,15.2,1.2
2008-01-22,12.4,-2.4
1981-01-23,14.6,-1.2
2004-01-24,14.8,7
2014-01-25,14.5,4.2
1983-01-26,15.8,4.8
2003-01-27,19,5.8
1981-01-28,16,0
1983-01-29,15.2,2.4
1994-01-30,14.6,0.4
1992-01-31,14.2,0.4
