fecha,maxima,minima
1962-01-01,17.6,8
2003-01-02,16.4,7
2018-01-03,18.3,12.1
2018-01-04,17.7,9.8
2013-01-05,18.1,6.3
2008-01-06,18.5,4.7
2011-01-07,17.5,7.9
2011-01-08,18.5,6.7
2004-01-09,17.8,5.4
1974-01-10,18,5.8
2004-01-11,17.4,9.2
1994-01-12,17.8,4.8
1962-01-13,17.4,7
1955-01-14,16.2,12.8
1974-01-15,15.8,6
1955-01-16,16,8.6
1955-01-17,17.2,8
2007-01-18,18.2,2.2
2007-01-19,18.3,6.1
2007-01-20,19.3,3.3
2008-01-21,18.7,-2.6
1966-01-22,16.4,8
2009-01-23,18.8,5.2
1969-01-24,17.4,6
1995-01-25,18.8,5.6
2002-01-26,17,4.2
1980-01-27,17.4,4.8
2002-01-28,18.8,0
2009-01-29,17.1,6.8
1975-01-30,17.4,3.6
2013-01-31,18.4,4.5
