fecha,maxima,minima
1996-01-01,25.6,11
2018-01-02,22.4,8
2018-01-03,25.4,13.6
2018-01-04,23.4,13
2012-01-05,24,9.5
1974-01-06,25,6.5
1982-01-07,26.2,9
1968-01-08,20.5,10.4
1982-01-09,22.2,6
2004-01-10,23.8,10.5
2015-01-11,22.8,4
1994-01-12,23.6,7.4
1979-01-13,22,7
1955-01-14,22.2,8.8
1955-01-15,23,9.5
2008-01-16,22.1,6.7
1955-01-17,22.2,10.6
1955-01-18,25,13.5
1969-01-19,23,7
1966-01-20,24,12.4
1951-01-21,24.5,3
2018-01-22,25,9
1966-01-23,24,13.2
2004-01-24,22.3,10.6
1966-01-25,24.4,5
2004-01-26,23.7,7.2
2004-01-27,23.6,12
1994-01-28,22,4.4
1975-01-29,24.2,10
2015-01-30,23.7,10
1983-01-31,23.2,9
