fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2022-01-01,Enero,1,21.7,16.8,2022,2020
2022-01-02,Enero,2,16.7,15,2022,2020
2022-01-03,Enero,3,18.2,16.5,2022,2015
2012-01-04,Enero,4,14.6,14.1,2012,2007
2015-01-05,Enero,5,15.4,14.4,2015,2001
2011-01-06,Enero,6,15.1,14.2,2011,1982
2016-01-07,Enero,7,15.7,15.6,2016,1982
2014-01-08,Enero,8,16.1,15.6,2014,1982
2014-01-09,Enero,9,19.8,14,2014,2004
2015-01-10,Enero,10,15.6,15.3,2015,2014
2014-01-11,Enero,11,17.3,15,2014,2017
2017-01-12,Enero,12,14.8,13.5,2017,2015
2007-01-13,Enero,13,15.2,14,2007,2015
2005-01-14,Enero,14,15.6,13.6,2005,1955
1964-01-15,Enero,15,14,14,1964,1968
1968-01-16,Enero,16,15,14,1968,1995
1956-01-17,Enero,17,14.4,14.2,1956,1996
2018-01-18,Enero,18,15.6,14.6,2018,2008
1959-01-19,Enero,19,15,14.6,1959,2007
1969-01-20,Enero,20,17.4,13.8,1969,1998
2008-01-21,Enero,21,15.7,13,2008,1969
2008-01-22,Enero,22,17.2,14.3,2008,2016
2016-01-23,Enero,23,14.5,14,2016,1959
2016-01-24,Enero,24,19,15.5,2016,2019
2016-01-25,Enero,25,16.2,16,2016,1980
2019-01-26,Enero,26,15,14.5,2019,1980
2021-01-27,Enero,27,16.7,15.5,2021,1959
2021-01-28,Enero,28,19.6,15.6,2021,1967
2021-01-29,Enero,29,17.5,16,2021,1967
2013-01-30,Enero,30,16,14.8,2013,2000
2013-01-31,Enero,31,17.1,16.6,2013,2000
