fecha,maxima,minima
2007-01-01,15.1,1.7
2009-01-02,14.5,1.2
2015-01-03,16.5,-6.3
2012-01-04,14.6,-3.1
2015-01-05,15.4,-5.4
2011-01-06,15.1,9.2
2016-01-07,15.7,8.3
2014-01-08,16.1,3
2014-01-09,19.8,1.1
2015-01-10,15.6,-4.4
2014-01-11,17.3,-2.6
2017-01-12,14.8,-2.8
2007-01-13,15.2,-4.1
2005-01-14,15.6,4.6
1964-01-15,14,6.2
1968-01-16,15,-3.2
1956-01-17,14.4,5.5
2018-01-18,15.6,-2.8
1959-01-19,15,4.2
1969-01-20,17.4,3.8
2008-01-21,15.7,-2.7
2008-01-22,17.2,-1.9
2016-01-23,14.5,8.3
2016-01-24,19,5.3
2016-01-25,16.2,4.9
2019-01-26,15,-4.2
1959-01-27,15.5,6
1967-01-28,15.6,-0.8
1967-01-29,16,4.6
2013-01-30,16,0.6
2013-01-31,17.1,0
