fecha,maxima,minima
1996-01-01,20.2,10.2
2003-01-02,21.6,10
1998-01-03,21,8.8
1970-01-04,20,12.4
2001-01-05,22.5,11.4
1999-01-06,22.5,15.5
1982-01-07,22.2,16.4
2014-01-08,20.3,16.8
1991-01-09,21,10
1991-01-10,20,11.2
1998-01-11,19.2,14.2
1974-01-12,20.4,14
1993-01-13,21,13.4
1975-01-14,21,15
2005-01-15,19.4,6
1964-01-16,20.6,11
1993-01-17,19.6,7.6
2007-01-18,20.4,10
1970-01-19,19.8,14
1969-01-20,20,7.4
1969-01-21,19,5
1969-01-22,21,9
2001-01-23,20.2,7
2016-01-24,24.6,7.5
2016-01-25,22.1,12.3
1975-01-26,20,10
2016-01-27,20.2,7.9
1966-01-28,24,5
1967-01-29,21.6,16
1965-01-30,21,14.2
2017-01-31,21,12.2
