fecha,maxima,minima
2016-01-01,17.9,8.3
1962-01-02,16.2,13
1998-01-03,16.8,10.2
1996-01-04,17.8,8.4
2001-01-05,17.3,10.2
2012-01-06,18.8,4
2016-01-07,17.2,11.1
2016-01-08,16.1,12.1
2019-01-09,16.3,-2.6
1991-01-10,16.5,9.4
2017-01-11,19.2,7.5
1976-01-12,17.1,1.3
1976-01-13,16.5,-0.3
2019-01-14,17.2,-2.2
1976-01-15,17.4,-1.8
1981-01-16,16.5,5.5
1981-01-17,16.4,-0.8
1981-01-18,16.3,-0.3
1959-01-19,19.1,3.2
2008-01-20,17.9,1.7
2008-01-21,18.2,1.2
2008-01-22,19,0.2
2008-01-23,17.3,1.4
2016-01-24,20.7,4.8
2019-01-25,19,5.1
2013-01-26,18,7.3
2003-01-27,22,4.2
2003-01-28,19.1,4.6
1983-01-29,19,-0.8
1983-01-30,19.6,-0.2
1983-01-31,17.4,1.8
