fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2012-01-01,Enero,1,18.2,17.8,2012,1996
2003-01-02,Enero,2,19.3,17.5,2003,1960
1998-01-03,Enero,3,19.6,19.4,1998,2018
2018-01-04,Enero,4,19.7,17.4,2018,1960
2018-01-05,Enero,5,18.1,17.7,2018,2013
1958-01-06,Enero,6,18.6,18.6,1958,2008
2016-01-07,Enero,7,18.5,18.4,2016,1982
2016-01-08,Enero,8,20.6,16.8,2016,1974
1982-01-09,Enero,9,18.0,17.8,1982,1991
2016-01-10,Enero,10,19.8,18.4,2016,1991
1991-01-11,Enero,11,19.0,18.3,1991,1974
1994-01-12,Enero,12,18.0,17.9,1994,1955
1955-01-13,Enero,13,19.2,16.9,1955,2004
1955-01-14,Enero,14,18.6,16.4,1955,2004
1955-01-15,Enero,15,19.8,18.0,1955,1974
1955-01-16,Enero,16,17.4,16.1,1955,1974
2024-01-17,Enero,17,17.8,17.0,2024,1951
2024-01-18,Enero,18,20.1,17.8,2024,1969
2009-01-19,Enero,19,19.2,18.4,2009,2007
1959-01-20,Enero,20,19.6,16.9,1959,1951
1951-01-21,Enero,21,18.2,17.9,1951,2018
1966-01-22,Enero,22,18.0,17.2,1966,1959
2009-01-23,Enero,23,20.0,17.6,2009,1971
1980-01-24,Enero,24,19.0,18.6,1980,1995
1995-01-25,Enero,25,19.8,18.0,1995,2014
2004-01-26,Enero,26,19.2,18.6,2004,1995
2021-01-27,Enero,27,19.4,18.4,2021,2003
2021-01-28,Enero,28,19.5,17.0,2021,2002
2021-01-29,Enero,29,19.7,18.7,2021,2020
2020-01-30,Enero,30,17.9,17.8,2020,1975
2020-01-31,Enero,31,20.3,18.1,2020,2013
