fecha,maxima,minima
2000-02-01,20,4.2
2002-02-02,19.8,-3
2004-02-03,19.6,2
2004-02-04,20,0.6
1980-02-05,19.6,-1
1995-02-06,20.2,-0.6
2004-02-07,19.2,-0.8
1957-02-08,20.7,4.7
1980-02-09,21,1.4
1961-02-10,20.2,-1.6
1961-02-11,20.6,-2
1961-02-12,21,-1.2
1961-02-13,21.6,-0.5
1958-02-14,22,7.2
1958-02-15,22.2,6.8
1998-02-16,22,2.4
1998-02-17,21.5,2.2
1978-02-18,22.2,4.2
2000-02-19,21.1,0.5
1997-02-20,20.5,1
1997-02-21,21,0.4
1950-02-22,21,0.6
1967-02-23,20,1
1990-02-24,22,0.6
1957-02-25,21.2,1.2
2002-02-26,22.5,1
1960-02-27,25.4,4
1960-02-28,24,7
2000-02-29,20,3.4
