fecha,maxima,minima
1985-02-01,19.6,3.6
2002-02-02,20.4,1
2004-02-03,20.4,7.6
1995-02-04,20,0.6
1992-02-05,22,-2.4
1992-02-06,20.6,-0.4
1981-02-07,22.6,0
1981-02-08,22,-0.2
1984-02-09,20,8
1968-02-10,21.8,5.2
2001-02-11,21,7
1961-02-12,21.4,2
1961-02-13,22,4
1989-02-14,21.2,0.4
1958-02-15,23,9.2
1958-02-16,23.6,10.2
1989-02-17,21.2,-0.4
1978-02-18,23.4,9.2
2000-02-19,22.2,2.8
1990-02-20,22.6,6.4
1997-02-21,22.8,6.2
2019-02-22,23.6,5.2
1990-02-23,22,7.6
1990-02-24,24,5.4
2011-02-25,22.6,5.3
2019-02-26,25.2,3.5
1961-02-27,24.8,4
1960-02-28,29,11.2
2012-02-29,22.2,1.4
