fecha,maxima,minima
1961-02-01,23,8.8
1961-02-02,26,12
1970-02-03,23.6,8.6
1980-02-04,26,5.4
1961-02-05,24.9,12.5
1979-02-06,25.6,12.2
1984-02-07,25.2,5.6
1984-02-08,25.4,14.2
1966-02-09,24.9,13.9
2016-02-10,23.5,15.2
2007-02-11,24.2,13
2007-02-12,25,10.4
2014-02-13,25.7,9.2
1990-02-14,27.2,11.4
1990-02-15,27.2,13.8
1995-02-16,24.4,9.8
1978-02-17,25,11.2
1978-02-18,23.8,11.4
1978-02-19,25,10.4
1967-02-20,24.7,11.8
1967-02-21,26.1,11
1999-02-22,25.2,10.6
1986-02-23,26.2,11.4
1995-02-24,25.4,8.4
1995-02-25,28.8,16.4
1983-02-26,24,9
1990-02-27,25.6,11.6
1987-02-28,25.2,12.8
1960-02-29,24.4,9.5
