fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2000-02-01,Febrero,1,23.7,23.6,2000,1957
2020-02-02,Febrero,2,23.9,22.9,2020,2022
2020-02-03,Febrero,3,25.1,22.6,2020,2022
2020-02-04,Febrero,4,24.4,22.9,2020,2000
1995-02-05,Febrero,5,23.5,23.0,1995,1957
1981-02-06,Febrero,6,22.6,21.9,1981,2019
1957-02-07,Febrero,7,23.6,23.0,1957,1981
1955-02-08,Febrero,8,23.0,21.6,1955,1957
1955-02-09,Febrero,9,23.2,21.8,1955,1980
1961-02-10,Febrero,10,22.6,22.5,1961,2007
1961-02-11,Febrero,11,23.6,23.6,1961,2001
2001-02-12,Febrero,12,23.6,22.2,2001,1958
2007-02-13,Febrero,13,24.1,23.0,2007,1958
1958-02-14,Febrero,14,27.0,24.7,1958,2024
1958-02-15,Febrero,15,24.5,22.8,1958,2007
2007-02-16,Febrero,16,23.9,23.4,2007,1989
2022-02-17,Febrero,17,23.2,22.6,2022,1958
1978-02-18,Febrero,18,25.4,23.2,1978,1989
2024-02-19,Febrero,19,23.0,22.6,2024,1990
1997-02-20,Febrero,20,23.8,23.5,1997,1999
2024-02-21,Febrero,21,24.0,23.7,2024,1997
2022-02-22,Febrero,22,26.9,23.9,2022,2020
2022-02-23,Febrero,23,25.1,24.2,2022,2019
1957-02-24,Febrero,24,27.2,24.3,1957,2019
1957-02-25,Febrero,25,29.0,24.0,1957,2011
1957-02-26,Febrero,26,27.0,24.2,1957,1961
1957-02-27,Febrero,27,25.0,25.0,1957,1960
1957-02-28,Febrero,28,26.0,25.6,1957,1960
1960-02-29,Febrero,29,25.0,23.4,1960,2012
