fecha,maxima,minima
1967-02-01,14.4,-1
1964-02-02,18.2,-0.5
1964-02-03,17.8,0.8
1992-02-04,17,-1.4
1999-02-05,17.8,3
1992-02-06,18.8,0.8
1971-02-07,19,-1
1981-02-08,16.8,2.4
2008-02-09,15.8,1.4
1961-02-10,16.5,0
2004-02-11,15.6,-2.4
1961-02-12,17.8,1
1989-02-13,17,-0.6
1998-02-14,17.8,4.8
1961-02-15,18.3,2.5
1998-02-16,16.6,6.2
1961-02-17,16.2,2.8
1998-02-18,16.8,5.8
1950-02-19,17.5,-0.2
1959-02-20,16,-2.2
1959-02-21,16.8,-0.6
2017-02-22,17.6,2.6
2017-02-23,18.6,3.2
2019-02-24,19.8,1.3
2019-02-25,20.9,2.5
1953-02-26,19.2,-0.5
2012-02-27,18.2,-0.8
1960-02-28,20.5,7.7
2012-02-29,18.2,2
