fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1953-02-01,Febrero,1,24.4,24.4,1953,2013
1953-02-02,Febrero,2,22.6,22.6,1953,2021
2022-02-03,Febrero,3,24.1,24,2022,2020
1961-02-04,Febrero,4,23.8,22.1,1961,2022
1961-02-05,Febrero,5,25,23.2,1961,2002
1961-02-06,Febrero,6,29.4,23.4,1961,1979
1961-02-07,Febrero,7,30,24.9,1961,2019
1984-02-08,Febrero,8,23.8,23,1984,1977
1984-02-09,Febrero,9,24.2,24,1984,1966
1966-02-10,Febrero,10,23,23,1966,2007
2020-02-11,Febrero,11,25.5,25,2020,1950
2016-02-12,Febrero,12,23.8,23.4,2016,1950
2005-02-13,Febrero,13,24.4,24,2005,2001
2002-02-14,Febrero,14,24.6,23.4,2002,1990
1995-02-15,Febrero,15,26.4,22.8,1995,1980
2000-02-16,Febrero,16,25.4,23.8,2000,1995
2020-02-17,Febrero,17,25.1,25,2020,1995
1978-02-18,Febrero,18,23.6,23,1978,1958
1971-02-19,Febrero,19,22.8,22.1,1971,2022
1964-02-20,Febrero,20,21.6,21.6,1964,1997
1999-02-21,Febrero,21,24,22.4,1999,2002
1999-02-22,Febrero,22,25,24.4,1999,2000
1986-02-23,Febrero,23,25,23.6,1986,2016
1986-02-24,Febrero,24,25.6,23.6,1986,1973
1995-02-25,Febrero,25,28.4,25.7,1995,2020
2011-02-26,Febrero,26,26.8,25,2011,1997
2002-02-27,Febrero,27,25.8,25.6,2002,1971
2007-02-28,Febrero,28,25.2,25,2007,1971
2020-02-29,Febrero,29,24.4,23.8,2020,1960
