fecha,maxima,minima
2002-02-01,18.8,9.6
2004-02-02,19.6,4.8
2004-02-03,21.4,5.6
2004-02-04,22.8,8.6
2004-02-05,23.8,6.6
2008-02-06,21,6.2
2008-02-07,22.5,3
2008-02-08,22.3,1.1
2008-02-09,22.4,0.5
2008-02-10,21.4,-0.2
1998-02-11,22.4,3.2
2001-02-12,23.4,6
1998-02-13,22.8,3.8
1998-02-14,23.4,4.2
2019-02-15,21.1,2
2019-02-16,23.6,1.1
1998-02-17,23,8
1989-02-18,21.2,1.8
1989-02-19,23,3.4
2017-02-20,20.7,5.3
2017-02-21,22.4,2.3
2017-02-22,23.8,5.3
2012-02-23,23.4,-2.2
2019-02-24,25,3.3
2019-02-25,25.5,2.6
2019-02-26,24.8,2.1
2009-02-27,24.7,1.5
1987-02-28,24.4,9.8
2012-02-29,21.6,1.1
