fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1999-07-01,Julio,1,33.4,33,1999,1982
2001-07-02,Julio,2,33.4,31.2,2001,1986
2005-07-03,Julio,3,32.4,32,2005,1959
1986-07-04,Julio,4,32.8,32.2,1986,1959
1982-07-05,Julio,5,34.4,33.3,1982,1959
1982-07-06,Julio,6,35,34.7,1982,1959
1959-07-07,Julio,7,36.3,35.2,1959,1982
1959-07-08,Julio,8,34.7,33.8,1959,1986
2013-07-09,Julio,9,34,33.6,2013,1979
2006-07-10,Julio,10,36.2,34,2006,1986
1967-07-11,Julio,11,33.7,33.4,1967,2003
1990-07-12,Julio,12,34.8,34.4,1990,2003
1966-07-13,Julio,13,34.3,33.6,1966,1983
2015-07-14,Julio,14,34.4,34.2,2015,1992
2015-07-15,Julio,15,34.4,33.8,2015,1978
1964-07-16,Julio,16,34,34,1964,1986
1964-07-17,Julio,17,35,33.8,1964,1990
2012-07-18,Julio,18,34.6,34.4,2012,1990
1995-07-19,Julio,19,36.4,35.8,1995,1990
1995-07-20,Julio,20,35.2,34.8,1995,1969
1990-07-21,Julio,21,35.4,34.6,1990,1995
2019-07-22,Julio,22,34.5,34.2,2019,1985
1969-07-23,Julio,23,34.3,34.2,1969,1968
1995-07-24,Julio,24,36.4,35.2,1995,1954
1954-07-25,Julio,25,33.9,33.4,1954,1950
1968-07-26,Julio,26,34.4,33.8,1968,1992
1951-07-27,Julio,27,36,35,1951,2020
1992-07-28,Julio,28,34.4,34,1992,1979
1981-07-29,Julio,29,35.2,33.8,1981,2016
2020-07-30,Julio,30,35.1,34.4,2020,1986
1957-07-31,Julio,31,35.6,33.7,1957,1958
