fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2015-07-01,Julio,1,38.2,37.7,2015,2019
1994-07-02,Julio,2,37.8,37.8,1994,2015
1994-07-03,Julio,3,38.6,37.6,1994,2015
2015-07-04,Julio,4,39.5,36,2015,2019
1982-07-05,Julio,5,37,36.9,1982,2015
1982-07-06,Julio,6,37.4,36.8,1982,2015
2017-07-07,Julio,7,40.1,37.6,2017,1982
2019-07-08,Julio,8,38.4,37.8,2019,1982
1984-07-09,Julio,9,35,35,1984,2016
2010-07-10,Julio,10,36,35.1,2010,2016
2023-07-11,Julio,11,38.3,36.4,2023,1982
2003-07-12,Julio,12,36.5,35.7,2003,2022
2001-07-13,Julio,13,37.6,37.5,2001,2003
2018-07-14,Julio,14,35.7,35.6,2018,2005
2005-07-15,Julio,15,36.5,36.4,2005,1985
1994-07-16,Julio,16,39.2,37,1994,1993
1994-07-17,Julio,17,38.2,37.8,1994,1993
2014-07-18,Julio,18,37.4,37.4,2014,2023
2023-07-19,Julio,19,40,38.2,2023,1998
2003-07-20,Julio,20,39.9,39.2,2003,1983
2003-07-21,Julio,21,39.8,39.3,2003,2016
1989-07-22,Julio,22,39.5,36.7,1989,2019
2021-07-23,Julio,23,38.5,36.2,2021,2006
1996-07-24,Julio,24,38,36.7,1996,2019
1996-07-25,Julio,25,39.6,35.6,1996,1983
2013-07-26,Julio,26,38.7,36,2013,1985
2020-07-27,Julio,27,36.3,35.5,2020,2012
2020-07-28,Julio,28,40.6,35,2020,1984
2020-07-29,Julio,29,37.8,37.4,2020,1979
1983-07-30,Julio,30,40.6,38.7,1983,2020
1983-07-31,Julio,31,39.8,38,1983,1981
