fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1974-07-01,Julio,1,36.6,35.5,1974,2004
1974-07-02,Julio,2,37,33.4,1974,1999
1999-07-03,Julio,3,36.2,34.4,1999,1975
1994-07-04,Julio,4,39.8,34.8,1994,1975
1994-07-05,Julio,5,39.7,35,1994,1975
1994-07-06,Julio,6,41.1,35,1994,1956
1994-07-07,Julio,7,36.8,36.4,1994,2015
2015-07-08,Julio,8,36.6,35.7,2015,2020
1961-07-09,Julio,9,35,33.9,1961,2015
2010-07-10,Julio,10,36.9,34.7,2010,2018
1957-07-11,Julio,11,40,35.7,1957,2010
1957-07-12,Julio,12,39.8,38.4,1957,1952
1952-07-13,Julio,13,38.4,37.2,1952,1957
1952-07-14,Julio,14,38,36.4,1952,1975
1975-07-15,Julio,15,39.8,31.8,1975,2016
1978-07-16,Julio,16,36,35.6,1978,1975
2012-07-17,Julio,17,39.7,37.2,2012,1978
1978-07-18,Julio,18,38.6,36,1978,1970
2020-07-19,Julio,19,34.7,34.2,2020,1978
1953-07-20,Julio,20,39.5,38,1953,1969
1953-07-21,Julio,21,38.6,37.2,1953,1969
1953-07-22,Julio,22,38.5,37.4,1953,2012
1978-07-23,Julio,23,37.2,37.2,1978,1982
1982-07-24,Julio,24,37.2,37.1,1982,2004
2004-07-25,Julio,25,39.2,38,2004,1969
1982-07-26,Julio,26,40.4,38,1982,1954
2004-07-27,Julio,27,38,36.6,2004,1975
2009-07-28,Julio,28,39.8,37.4,2009,1984
2009-07-29,Julio,29,41.3,36.8,2009,1995
2009-07-30,Julio,30,40.8,37.5,2009,2011
2009-07-31,Julio,31,41.4,38.2,2009,1988
