fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2019-06-01,Junio,1,34.2,32.9,2019,2012
2005-06-02,Junio,2,30.7,29.5,2005,2019
1980-06-03,Junio,3,33.8,31.6,1980,1978
2015-06-04,Junio,4,36.6,31.6,2015,1983
1996-06-05,Junio,5,34.2,33.4,1996,1952
1996-06-06,Junio,6,35.4,35.2,1996,1983
1976-06-07,Junio,7,33,30.4,1976,1987
2006-06-08,Junio,8,36.1,32,2006,2017
2004-06-09,Junio,9,34.2,32,2004,1997
2006-06-10,Junio,10,32.2,30.2,2006,1950
2006-06-11,Junio,11,33.6,29.9,2006,1989
1964-06-12,Junio,12,33.4,31.4,1964,1989
2003-06-13,Junio,13,37.3,34.1,2003,2021
1984-06-14,Junio,14,30.2,30.2,1984,2002
1981-06-15,Junio,15,32.8,32,1981,2012
2002-06-16,Junio,16,35.1,35,2002,2000
1982-06-17,Junio,17,35.4,33.8,1982,2000
2005-06-18,Junio,18,37.4,36.5,2005,2000
1998-06-19,Junio,19,37.3,37.1,1998,2017
1998-06-20,Junio,20,36.8,35.6,1998,2003
2003-06-21,Junio,21,38.2,37.8,2003,2017
2004-06-22,Junio,22,34.1,33.4,2004,2016
1994-06-23,Junio,23,36,35.8,1994,2005
1961-06-24,Junio,24,33.4,32.3,1961,1999
1952-06-25,Junio,25,35.6,33,1952,1973
2019-06-26,Junio,26,39.6,39.4,2019,2011
2011-06-27,Junio,27,41,40.7,2011,2019
1987-06-28,Junio,28,35.6,33.6,1987,1976
1950-06-29,Junio,29,41.2,35.8,1950,1976
1968-06-30,Junio,30,39.2,37.4,1968,1952
