fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2012-06-01,Junio,1,34.5,33.1,2012,2019
2019-06-02,Junio,2,34.5,32.6,2019,2015
2015-06-03,Junio,3,33.6,33.2,2015,2001
1983-06-04,Junio,4,35.4,33.0,1983,2010
2024-06-05,Junio,5,33.6,33.0,2024,2010
2024-06-06,Junio,6,35.3,34.0,2024,2015
2015-06-07,Junio,7,34.1,33.8,2015,2006
2006-06-08,Junio,8,34.7,34.2,2006,2016
2016-06-09,Junio,9,34.7,34.4,2016,1983
1983-06-10,Junio,10,35.2,35.1,1983,2017
2017-06-11,Junio,11,37.2,36.8,2017,2022
2017-06-12,Junio,12,37.0,36.2,2017,2009
2009-06-13,Junio,13,38.4,38.0,2009,1981
2022-06-14,Junio,14,38.5,37.2,2022,2017
2017-06-15,Junio,15,39.0,37.9,2017,2022
2017-06-16,Junio,16,37.6,37.2,2017,2022
2017-06-17,Junio,17,40.0,38.9,2017,2022
2022-06-18,Junio,18,38.9,38.6,2022,2017
2009-06-19,Junio,19,36.2,35.1,2009,2005
2005-06-20,Junio,20,35.0,34.6,2005,1960
2017-06-21,Junio,21,36.3,35.8,2017,2003
2017-06-22,Junio,22,37.0,36.5,2017,2005
2017-06-23,Junio,23,36.2,36.2,2017,2020
2018-06-24,Junio,24,36.6,36.5,2018,2012
2012-06-25,Junio,25,37.8,37.5,2012,1991
2012-06-26,Junio,26,38.8,37.0,2012,2023
2019-06-27,Junio,27,38.5,37.6,2019,2004
2019-06-28,Junio,28,40.7,38.8,2019,2015
2019-06-29,Junio,29,40.0,39.3,2019,2015
2019-06-30,Junio,30,38.5,38.4,2019,2015
