fecha,maxima,minima
2012-06-01,36.7,16.9
2009-06-02,34.1,10.9
2004-06-03,34.2,12.8
2015-06-04,35.6,14.8
2004-06-05,36.2,15.2
2006-06-06,36.1,12.6
2015-06-07,36.5,13.4
2005-06-08,37.6,12.6
2005-06-09,36.8,15
2005-06-10,33.6,14.8
2004-06-11,34,14.8
2014-06-12,35.7,12.7
1996-06-13,38,15.8
1996-06-14,38.4,17.2
1996-06-15,38.6,16.8
2017-06-16,38.2,14.7
2017-06-17,39.5,17.6
2017-06-18,39.6,18.9
2003-06-19,39,14.6
2003-06-20,39.2,17
2003-06-21,38.2,19.6
2005-06-22,38.2,15
2018-06-23,36.6,17.6
2018-06-24,37.6,19.3
2011-06-25,39.6,13.7
2011-06-26,40.9,16.5
1976-06-27,36.4,18
1987-06-28,37.2,16.2
2015-06-29,40.2,14.2
1991-06-30,37.4,12
