fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2012-06-01,Junio,1,32.4,32.0,2012,1970
1970-06-02,Junio,2,32.5,30.0,1970,1980
1980-06-03,Junio,3,32.0,30.5,1980,2004
2004-06-04,Junio,4,31.5,30.8,2004,2006
2006-06-05,Junio,5,32.5,29.2,2006,1975
2006-06-06,Junio,6,33.7,29.4,2006,2023
2015-06-07,Junio,7,33.4,30.3,2015,1994
2005-06-08,Junio,8,34.0,29.7,2005,2015
2005-06-09,Junio,9,32.8,28.2,2005,1968
2005-06-10,Junio,10,28.5,28.2,2005,2004
1976-06-11,Junio,11,30.0,30.0,1976,2014
2014-06-12,Junio,12,32.9,29.6,2014,1984
1981-06-13,Junio,13,35.8,34.0,1981,1996
1981-06-14,Junio,14,36.0,34.5,1981,1996
1981-06-15,Junio,15,36.0,34.2,1981,1996
2000-06-16,Junio,16,33.4,32.4,2000,1982
2000-06-17,Junio,17,35.5,35.1,2000,2017
2017-06-18,Junio,18,34.9,33.6,2017,1960
2003-06-19,Junio,19,34.0,32.6,2003,1998
2001-06-20,Junio,20,34.4,33.5,2001,2003
2015-06-21,Junio,21,35.9,32.8,2015,2001
2005-06-22,Junio,22,34.5,32.2,2005,1995
2018-06-23,Junio,23,33.4,32.5,2018,2020
1952-06-24,Junio,24,33.4,32.7,1952,2018
2011-06-25,Junio,25,35.5,29.8,2011,1952
2012-06-26,Junio,26,35.0,34.1,2012,2011
1976-06-27,Junio,27,33.5,31.1,1976,2015
1950-06-28,Junio,28,33.4,32.5,1950,1969
2015-06-29,Junio,29,37.8,32.6,2015,1968
2013-06-30,Junio,30,33.4,33.0,2013,1968
