fecha,maxima,minima
2012-06-01,38,18.8
2012-06-02,37,16.6
2015-06-03,34.7,18.8
2019-06-04,34.8,15.5
2010-06-05,34.8,16.3
1952-06-06,35.6,19.4
1983-06-07,36,20
1981-06-08,36.4,15.6
2016-06-09,36,21.4
2003-06-10,35.8,20
2017-06-11,37.5,20.4
2003-06-12,36.9,20.9
2009-06-13,38.6,20.2
2017-06-14,39.2,20.9
2003-06-15,36.8,23.4
2012-06-16,37,17.2
1982-06-17,37.4,20.4
2017-06-18,38.5,22.2
2017-06-19,37.6,22.2
1965-06-20,39.2,17
1965-06-21,41,18
2017-06-22,40.1,22.6
2005-06-23,38.3,20.9
2003-06-24,38.1,23
2001-06-25,40.4,20.9
2001-06-26,40.5,19.5
2019-06-27,40.6,21.6
2019-06-28,42.7,21.4
2019-06-29,43.2,22.4
2019-06-30,42.3,21.5
