fecha,maxima,minima
1987-03-01,24.6,10.6
1977-03-02,23,11.4
1987-03-03,32.4,14
1987-03-04,27,15.6
1977-03-05,27.2,14.6
1998-03-06,28.2,14
2007-03-07,24.2,13
2017-03-08,23.5,11.1
1998-03-09,24,13.6
2017-03-10,24.3,13.5
1990-03-11,26.2,16.4
2020-03-12,28.1,13.4
2008-03-13,25.3,12.1
2022-03-14,23.8,14.5
2009-03-15,25.3,11.4
1961-03-16,26,15
1961-03-17,26,10
1998-03-18,26.2,12.8
1998-03-19,24.6,13.2
1960-03-20,25,14
1985-03-21,24,11
1996-03-22,25.4,12.4
2001-03-23,25.4,14.2
1994-03-24,27.2,15.6
1994-03-25,27.4,15
1989-03-26,25.4,11
1965-03-27,25.5,14.6
1978-03-28,25.8,13.4
1997-03-29,24.4,13.4
1965-03-30,25.6,15.9
2005-03-31,26.5,14.5
